hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
NA	NA	NA	TRINITY_DN10344_c0_g1	-0.00250303858468671	0.998884766201114	0.10414445530493	0.975138898149606	-0.0578900367038595	0.968514776905715	0.0535074965289226	0.974546675916935	0.234127892127944	1	-0.0145252758644688	1	NA	40
NA	NA	NA	TRINITY_DN105598_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	-0.273632087263886	1	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN1091_c0_g1	-0.724198834024493	0.0459769319845848	-0.904436681022734	0.0191013022613461	-0.587468785238075	0.0905523326688813	-0.222235781715102	0.422886824594741	-0.706634557698921	1.01311617401316e-05	-0.626429014440272	5.201462641163e-06	1	3
NA	NA	NA	TRINITY_DN1091_c0_g2	-0.476364813765855	0.576010434569485	-0.28104512454394	0.757367729951626	0.538327777818499	0.244372921237422	-0.344859201346463	0.190336592610294	-0.448005857667285	0.0901866352041864	-0.397368736533954	0.146753384133557	7	3
NA	NA	NA	TRINITY_DN109463_c0_g1	NA	NA	-0.572275215442464	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN1247_c0_g1	0.286839502786607	0.905608305609534	-0.255093800731916	0.925991656606906	-0.529106077918361	0.614526555695086	-0.126522869234628	1	-0.321105133793528	1	-0.300392732168519	1	NA	35
NA	NA	NA	TRINITY_DN1247_c0_g3	-2.10046751913327	0.000872115995914556	-2.04242087373913	0.00219044732410087	-1.7256258154153	0.00694553611770345	-0.341121824685702	0.578706831150586	-0.877609804476627	0.00173490550798473	-1.1287301345313	0.000107692640524096	1	3
NA	NA	NA	TRINITY_DN12658_c0_g1	-1.50032350878811	0.205054119019264	-1.36522982539933	0.309754937268964	-0.694424424132657	0.504730490809638	0.290078947182233	0.827214478560233	-0.134478468103607	0.852562121246253	-0.118909392852752	0.897783035208994	1	2
NA	NA	NA	TRINITY_DN1317_c0_g1	-0.0532190684599336	0.949239403747873	0.0102824989714355	0.99230532922188	0.112500693094007	0.850348050008243	0.452008746861784	0.0409006112679147	0.153330041086981	0.580660987316959	-0.0475602706082466	0.91958079556822	6	41
NA	NA	NA	TRINITY_DN13235_c0_g1	0.540908591811295	0.647815415382441	1.02152536300204	0.412826242540355	1.0575547641056	1	-0.598809639187671	1	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN1357_c0_g1	0.164769949358486	0.9267461084194	0.174689196866092	0.913825456877561	0.776142925604542	0.177209651209761	0.074635692769679	0.944593708487579	-0.176404433916151	0.618180639770401	0.213100446849835	0.669932041372845	14	9
NA	NA	NA	TRINITY_DN1357_c0_g2	-3.03816681146861	4.73337740682207e-05	-1.74870353785356	0.077285647658508	-1.53724772103541	0.0525136962497191	NA	NA	NA	NA	NA	NA	1	NA
NA	NA	NA	TRINITY_DN1357_c1_g2	NA	NA	NA	NA	NA	NA	-0.00271793632153979	1	-0.211302918703223	1	-0.745838009627891	1	NA	NA
NA	NA	NA	TRINITY_DN145_c4_g1	-0.790456365154713	0.0157126923775932	-0.773216022155279	0.0756047360147038	-0.842041964270876	0.0560950288374118	-1.13826557239285	2.25278365029238e-10	-1.31020682060393	4.69010261484578e-12	-1.07467062572087	0.0014506689166537	9	3
NA	NA	NA	TRINITY_DN14973_c0_g2	NA	NA	NA	NA	NA	NA	-0.309795664077388	1	-1.3442297661109	1	NA	NA	NA	16
NA	NA	NA	TRINITY_DN1542_c0_g1	-1.08657034997305	0.0697811221305183	0.432064596322767	0.747014852244135	0.648468021361585	0.223464269619968	0.519158923013316	1	0.703036513882843	1	0.538974953144974	1	10	NA
NA	NA	NA	TRINITY_DN1596_c0_g2	-1.24569604309501	0.232095062945233	NA	NA	-0.999144298910861	1	-1.55205752936606	4.20943027668351e-06	-2.18104455649625	3.96451408742164e-10	-1.37565165883917	1	NA	3
NA	NA	NA	TRINITY_DN16683_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN1668_c0_g1	-0.146155802502243	0.576010434569485	-0.10307340680282	0.883457636300423	-0.295154076220408	0.260709896569368	-0.293107070589331	0.0539855970375996	-0.448986845367327	0.00053354801866137	-0.45539059280798	0.0330872744501825	2	2
NA	NA	NA	TRINITY_DN1720_c3_g1	0.492951932154898	0.569566106444222	0.106088786648525	0.943874254643883	0.39301631293346	0.641581334483422	0.453566154022934	0.44206258095964	0.469616098718387	1	0.319075650749491	0.568571751939144	14	14
NA	NA	NA	TRINITY_DN1739_c0_g1	-0.317354223464612	0.76902719369653	0.0777244290249889	0.962779113406252	0.130449690268556	0.873014680436363	NA	NA	NA	NA	NA	NA	13	NA
NA	NA	NA	TRINITY_DN17420_c0_g2	0.503364699266779	0.411649962126841	0.32417738257089	0.633936480389667	0.140689297513328	0.831559919083681	-0.474609492196471	0.523057358370426	-0.77957929206727	0.0178820011358847	-0.959327248274322	0.00231245712949741	3	35
NA	NA	NA	TRINITY_DN1744_c0_g2	-2.2716497230604	2.26553147099329e-09	-1.66405172025881	0.00294475157304267	-1.17805819457255	0.0151776255028081	-1.97953528997584	1.06028641353964e-18	-1.77346846212262	1.5494081575954e-12	-1.30707565822662	0.000436639557616565	1	13
NA	NA	NA	TRINITY_DN17708_c0_g1	-1.10204066978531	0.245782715927682	-0.427711410964941	0.795828670708852	-0.713400906848266	0.370611310873757	0.194482249136645	0.793457348560697	-0.210599560345822	0.614198564264287	-0.243017633801942	0.73227555720797	1	6
NA	NA	NA	TRINITY_DN17766_c0_g2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN18075_c0_g1	NA	NA	NA	NA	NA	NA	0.183318555396834	1	0.26096760608958	1	0.223487313636494	1	NA	NA
NA	NA	NA	TRINITY_DN1810_c0_g2	-1.78814816037706	5.1503983010062e-05	-1.38928500282739	0.00169449904417874	-1.29923784129401	0.00192307059281988	-1.74924580135356	5.37079874910118e-19	-1.62796679029096	1.36679848134867e-09	-1.25524333772278	5.13544392321266e-08	1	3
NA	NA	NA	TRINITY_DN182_c0_g1	-0.960752503023017	0.066908305787811	-1.13870019315928	0.0271962211877612	-0.608768376331087	0.300728629209885	-1.0866179409091	4.2595260393884e-05	-0.82118790093119	0.00925588030852419	-0.678015321498342	0.0331705714720326	1	3
NA	NA	NA	TRINITY_DN18332_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN1877_c0_g1	0.480157357026355	0.238691676519787	0.288886977964417	0.610270318117627	0.188616090658589	0.662281662570493	-0.542650529939862	0.109873626639639	-0.774975123353708	0.00349650663329791	-0.557897802620611	0.127284143123323	11	9
NA	NA	NA	TRINITY_DN1877_c1_g1	0.0876901165495782	0.929395701010487	-0.223444172696668	0.77188987175323	-0.149448259995052	0.776638960227381	-0.706871344640752	2.45303413023845e-05	-0.524113258108565	0.0147459609524849	-0.534117682768489	0.0154925906664324	15	3
NA	NA	NA	TRINITY_DN1944_c0_g2	1.21858749677671	0.00454082959825751	0.770152008301425	0.331862964326968	0.615814150781185	0.224415498893607	1.51497370363955	0.000227951213002587	1.01568822106372	0.0339117840962944	1.0514760288528	0.0359377057637845	3	23
NA	NA	NA	TRINITY_DN1976_c5_g1	-0.542626189166608	0.133044583090464	-0.138886238386213	0.886014822847373	-0.459041977083736	0.224415498893607	-0.470824961389743	0.148926649755471	-1.20504384187251	1.93884772301012e-09	-1.19643318496768	5.41991484331944e-14	1	3
NA	NA	NA	TRINITY_DN20375_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN20617_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TRINITY_DN2094_c0_g1	0.241271578495808	0.598592594455527	0.112663613257538	0.90004523402808	0.483273678095023	0.108529513351039	-0.584207114313562	0.0125137008607053	-0.71521744279685	7.86338721829294e-05	-0.612798704438502	0.0140625461606077	14	16
NA	NA	NA	TRINITY_DN2094_c0_g2	-0.291158131319497	0.862860624477419	-0.35921989255021	0.807488561382162	0.790054320356959	0.271650439523531	-0.465150132082047	0.560905197493447	-1.01313966306816	1	-0.35770417348728	1	7	16
NA	NA	NA	TRINITY_DN2094_c1_g1	-1.00873561484347	0.271791228198498	-1.08203887398406	0.26954472276056	-0.465965394073307	0.643916525078637	-0.667152694054919	0.00165275639958271	-0.963111457538415	3.90960013098845e-13	-0.694933254562879	0.00063536577163739	1	16
NA	NA	NA	TRINITY_DN2094_c2_g1	-0.137180281307201	0.892929429440006	-0.151087613079297	0.897679432177655	0.382715902721909	0.531798363036768	-0.865481599691761	0.019268127868348	-0.967779968856192	0.00999796597361889	-0.979327827540793	0.0217417119800252	6	16
