"stratum"	"n"	"pct"	"module"
"1"	"species-specific"	577	0.0851912003543481	"network"
"2"	NA	6196	0.914808799645652	"network"
"3"	"species-specific"	5997	0.328494741454864	"0"
"4"	NA	5486	0.300503943908852	"0"
"5"	"species-specific"	24	0.00131463628396144	"1"
"6"	NA	573	0.0313869412795793	"1"
"7"	"species-specific"	64	0.0035056967572305	"2"
"8"	NA	1059	0.0580083260297984	"2"
"9"	"species-specific"	107	0.00586108676599474	"3"
"10"	NA	845	0.0462861524978089	"3"
"11"	NA	72	0.00394390885188431	"4"
"12"	"species-specific"	98	0.0053680981595092	"5"
"13"	NA	253	0.0138584574934268	"5"
"14"	"species-specific"	17	0.000931200701139351	"6"
"15"	NA	183	0.010024101665206	"6"
"16"	"species-specific"	22	0.00120508326029798	"7"
"17"	NA	277	0.0151730937773883	"7"
"18"	"species-specific"	13	0.000712094653812445	"8"
"19"	NA	62	0.00339614373356705	"8"
"20"	"species-specific"	17	0.000931200701139351	"9"
"21"	NA	343	0.0187883435582822	"9"
"22"	"species-specific"	15	0.000821647677475898	"10"
"23"	NA	211	0.0115578439964943	"10"
"24"	"species-specific"	42	0.00230061349693252	"11"
"25"	NA	717	0.0392747589833479	"11"
"26"	"species-specific"	3	0.00016432953549518	"12"
"27"	NA	87	0.00476555652936021	"12"
"28"	"species-specific"	9	0.000492988606485539	"13"
"29"	NA	174	0.00953111305872042	"13"
"30"	"species-specific"	115	0.00629929886064855	"14"
"31"	NA	1002	0.05488606485539	"14"
"32"	"species-specific"	31	0.00169807186678352	"15"
"33"	NA	338	0.0185144609991236	"15"
