"stratum"	"n"	"pct"	"module"
"1"	"Formicidae"	522	0.0285933391761613	0
"2"	"Hymenoptera"	536	0.0293602103418054	0
"3"	"Myrmicinae"	160	0.00876424189307625	0
"4"	"older"	10464	0.573181419807187	0
"5"	"species-specific"	6574	0.36010078878177	0
"6"	"Formicidae"	409	0.0224035933391762	0
"7"	"Hymenoptera"	336	0.0184049079754601	0
"8"	"Myrmicinae"	118	0.00646362839614373	0
"9"	"older"	3757	0.205795354951797	0
"10"	"species-specific"	5598	0.306638913234005	0
"11"	"Formicidae"	2	0.000109553023663453	1
"12"	"Hymenoptera"	5	0.000273882559158633	1
"13"	"Myrmicinae"	2	0.000109553023663453	1
"14"	"older"	334	0.0182953549517967	1
"15"	"species-specific"	48	0.00262927256792287	1
"16"	"Formicidae"	8	0.000438212094653812	2
"17"	"Hymenoptera"	27	0.00147896581945662	2
"18"	"Myrmicinae"	4	0.000219106047326906	2
"19"	"older"	1548	0.0847940403155127	2
"20"	"species-specific"	71	0.00388913234005259	2
"21"	"Formicidae"	10	0.000547765118317266	3
"22"	"Hymenoptera"	22	0.00120508326029798	3
"23"	"Myrmicinae"	4	0.000219106047326906	3
"24"	"older"	541	0.0296340929009641	3
"25"	"species-specific"	21	0.00115030674846626	3
"26"	"Formicidae"	2	0.000109553023663453	4
"27"	"Hymenoptera"	3	0.00016432953549518	4
"28"	"Myrmicinae"	2	0.000109553023663453	4
"29"	"older"	150	0.00821647677475898	4
"30"	"species-specific"	37	0.00202673093777388	4
"31"	"Hymenoptera"	1	5.47765118317266e-05	5
"32"	"older"	30	0.0016432953549518	5
"33"	"species-specific"	6	0.000328659070990359	5
"34"	"Formicidae"	2	0.000109553023663453	6
"35"	"Myrmicinae"	1	5.47765118317266e-05	6
"36"	"older"	34	0.0018624014022787	6
"37"	"species-specific"	8	0.000438212094653812	6
"38"	"Formicidae"	1	5.47765118317266e-05	7
"39"	"Hymenoptera"	2	0.000109553023663453	7
"40"	"older"	58	0.00317703768624014	7
"41"	"species-specific"	4	0.000219106047326906	7
"42"	"older"	22	0.00120508326029798	8
"43"	"species-specific"	11	0.000602541630148992	8
"44"	"Hymenoptera"	4	0.000219106047326906	9
"45"	"older"	94	0.0051489921121823	9
"46"	"species-specific"	2	0.000109553023663453	9
"47"	"older"	3	0.00016432953549518	10
"48"	"species-specific"	3	0.00016432953549518	10
"49"	"Hymenoptera"	3	0.00016432953549518	11
"50"	"Myrmicinae"	1	5.47765118317266e-05	11
"51"	"older"	27	0.00147896581945662	11
"52"	"species-specific"	11	0.000602541630148992	11
"53"	"Formicidae"	1	5.47765118317266e-05	12
"54"	"Myrmicinae"	1	5.47765118317266e-05	12
"55"	"older"	54	0.00295793163891323	12
"56"	"species-specific"	12	0.000657318141980719	12
"57"	"Hymenoptera"	1	5.47765118317266e-05	13
"58"	"older"	37	0.00202673093777388	13
"59"	"species-specific"	4	0.000219106047326906	13
"60"	"Formicidae"	3	0.00016432953549518	14
"61"	"Hymenoptera"	10	0.000547765118317266	14
"62"	"older"	309	0.0169259421560035	14
"63"	"species-specific"	41	0.00224583698510079	14
"64"	"Formicidae"	4	0.000219106047326906	15
"65"	"Hymenoptera"	2	0.000109553023663453	15
"66"	"Myrmicinae"	1	5.47765118317266e-05	15
"67"	"older"	200	0.0109553023663453	15
"68"	"species-specific"	35	0.00191717791411043	15
"69"	"Formicidae"	5	0.000273882559158633	16
"70"	"Hymenoptera"	4	0.000219106047326906	16
"71"	"Myrmicinae"	1	5.47765118317266e-05	16
"72"	"older"	167	0.00914767747589833	16
"73"	"species-specific"	8	0.000438212094653812	16
"74"	"Formicidae"	1	5.47765118317266e-05	17
"75"	"Hymenoptera"	2	0.000109553023663453	17
"76"	"older"	8	0.000438212094653812	17
"77"	"species-specific"	4	0.000219106047326906	17
"78"	"Formicidae"	2	0.000109553023663453	18
"79"	"Hymenoptera"	8	0.000438212094653812	18
"80"	"older"	197	0.0107909728308501	18
"81"	"species-specific"	15	0.000821647677475898	18
"82"	"Hymenoptera"	1	5.47765118317266e-05	19
"83"	"older"	9	0.000492988606485539	19
"84"	"species-specific"	3	0.00016432953549518	19
"85"	"Hymenoptera"	2	0.000109553023663453	20
"86"	"Myrmicinae"	1	5.47765118317266e-05	20
"87"	"older"	42	0.00230061349693252	20
"88"	"species-specific"	15	0.000821647677475898	20
"89"	"Myrmicinae"	1	5.47765118317266e-05	21
"90"	"older"	5	0.000273882559158633	21
"91"	"species-specific"	2	0.000109553023663453	21
"92"	"Formicidae"	3	0.00016432953549518	22
"93"	"Hymenoptera"	2	0.000109553023663453	22
"94"	"older"	48	0.00262927256792287	22
