GO.ID	Significant	test
GO:0000724	11	0.00012
GO:0007097	8	0.00017
GO:0006974	44	0.00020
GO:0051726	39	0.00023
GO:0016070	226	0.00031
GO:0001510	10	0.00035
GO:0006364	34	0.00041
GO:0000470	7	0.00041
GO:0031935	8	0.00043
GO:0007140	12	0.00060
GO:0043484	15	0.00075
GO:0045448	8	0.00075
GO:1905269	8	0.00097
GO:0043933	59	0.00098
GO:0045892	39	0.00106
GO:0010501	7	0.00107
GO:0016458	26	0.00119
GO:0018205	29	0.00144
GO:0000469	6	0.00145
GO:0022607	97	0.00151
GO:0000184	6	0.00198
GO:0046621	6	0.00198
GO:0006338	19	0.00207
GO:0042254	46	0.00208
GO:0070192	8	0.00241
GO:0098534	6	0.00266
GO:0010467	252	0.00278
GO:0051053	6	0.00349
GO:0070828	8	0.00358
GO:0070897	5	0.00366
GO:0006892	7	0.00372
GO:0051298	7	0.00372
GO:0006997	10	0.00392
GO:0040029	24	0.00417
GO:0000723	8	0.00431
GO:0032508	11	0.00437
GO:0010608	28	0.00457
GO:0007281	60	0.00493
GO:0045930	10	0.00522
GO:0006367	9	0.00532
GO:0007098	13	0.00546
GO:0000154	6	0.00571
GO:0007294	6	0.00571
GO:0016325	6	0.00571
GO:0061982	16	0.00576
GO:0031324	68	0.00582
GO:0007127	8	0.00611
GO:0045132	8	0.00611
GO:0006302	17	0.00663
GO:0007143	7	0.00680
GO:0045944	25	0.00690
GO:0090502	9	0.00715
GO:0035317	9	0.00715
GO:2001251	8	0.00720
GO:0042273	13	0.00839
GO:0030855	39	0.00852
GO:0035065	5	0.00867
GO:0006289	6	0.00882
GO:0006368	6	0.00882
GO:0035825	6	0.00882
GO:0051301	30	0.00884
GO:0012501	33	0.00909
GO:0006260	16	0.00950
GO:0010605	81	0.00972
GO:0000381	8	0.00980
GO:0048515	12	0.01016
GO:0034968	13	0.01050
GO:0044786	6	0.01076
GO:1903827	9	0.01078
GO:0032784	5	0.01106
GO:0030317	5	0.01106
GO:0022402	67	0.01111
GO:0010564	17	0.01132
GO:0002065	28	0.01186
GO:0022618	15	0.01189
GO:0042326	10	0.01264
GO:0051656	25	0.01268
GO:0033157	6	0.01298
GO:0030261	8	0.01305
GO:0071826	16	0.01310
GO:0051172	64	0.01322
GO:0006904	5	0.01386
GO:0098876	5	0.01386
GO:0097722	5	0.01386
GO:0000075	9	0.01386
GO:0007286	11	0.01404
GO:0022613	57	0.01446
GO:0006915	27	0.01449
GO:0051641	85	0.01470
GO:0010558	47	0.01555
GO:0010468	159	0.01573
GO:0097549	5	0.01710
GO:0034401	5	0.01710
GO:0070868	5	0.01710
GO:0048278	5	0.01710
GO:0016334	5	0.01710
GO:1902115	5	0.01710
GO:0045936	11	0.01714
GO:0008285	11	0.01714
GO:0010563	11	0.01714
GO:0019730	9	0.01756
GO:0051640	28	0.01769
GO:0030707	26	0.01861
GO:0051252	128	0.01941
GO:0031400	12	0.01976
GO:0009411	5	0.02081
GO:0016246	5	0.02081
GO:0007062	5	0.02081
GO:0042325	24	0.02139
GO:0071824	16	0.02164
GO:0001933	9	0.02192
GO:2000113	46	0.02230
GO:0060341	15	0.02372
GO:0051304	7	0.02373
GO:0018022	13	0.02381
GO:0002066	26	0.02387
GO:0051171	174	0.02533
GO:0006396	100	0.02545
GO:0006323	12	0.02548
GO:0006261	10	0.02608
GO:0097190	7	0.02698
GO:0033301	4	0.02729
GO:0061339	4	0.02729
GO:0061162	4	0.02729
GO:0031058	4	0.02729
GO:0051223	8	0.02743
GO:0034622	40	0.02769
GO:0070727	52	0.02795
GO:0120032	6	0.02899
GO:0033045	6	0.02899
GO:0060491	6	0.02899
GO:0006913	21	0.02911
GO:0051169	21	0.02911
GO:0032269	19	0.02925
GO:0007131	5	0.02970
GO:0007091	5	0.02970
GO:0046425	5	0.02970
GO:1904892	5	0.02970
GO:0006959	9	0.02985
GO:0060548	13	0.02993
GO:0070201	8	0.03060
GO:0010948	8	0.03060
GO:0051248	19	0.03095
GO:0065003	44	0.03155
GO:0042274	17	0.03251
GO:0048477	50	0.03252
GO:0007052	9	0.03289
GO:0006611	15	0.03297
GO:1902692	6	0.03327
GO:0051983	6	0.03327
GO:0008283	29	0.03351
GO:0050000	4	0.03364
GO:0006893	4	0.03364
GO:0007099	4	0.03364
GO:1904062	4	0.03364
GO:0044784	5	0.03492
GO:0051306	5	0.03492
GO:0044837	5	0.03492
GO:0010965	5	0.03492
GO:0022406	5	0.03492
GO:0140056	5	0.03492
GO:0007292	55	0.03549
GO:0051168	16	0.03558
GO:0071900	9	0.03613
GO:0034504	9	0.03613
GO:0000122	16	0.03662
GO:0032506	6	0.03794
GO:0006281	34	0.03832
GO:0006468	39	0.03864
GO:0080090	174	0.04018
GO:0009987	497	0.04023
GO:0051254	50	0.04042
GO:0006403	25	0.04056
GO:0097696	5	0.04067
GO:0001737	5	0.04067
GO:0046822	5	0.04067
GO:0007259	5	0.04067
GO:1905818	5	0.04067
GO:0044772	11	0.04071
GO:0006277	4	0.04078
GO:0002183	4	0.04078
GO:2001233	4	0.04078
GO:0031327	47	0.04140
GO:0033044	28	0.04168
GO:0001932	21	0.04282
GO:0007093	6	0.04302
GO:1901991	6	0.04302
GO:0099172	6	0.04302
GO:0140029	6	0.04302
GO:0006357	57	0.04306
GO:0010628	54	0.04318
GO:0006342	16	0.04323
GO:0045814	16	0.04323
GO:0051649	68	0.04354
GO:0071103	22	0.04383
GO:0031503	17	0.04453
GO:0033365	18	0.04476
GO:0009890	47	0.04539
GO:0006325	61	0.04618
GO:0000910	12	0.04653
GO:0000460	10	0.04684
GO:0006986	5	0.04696
GO:0033047	5	0.04696
GO:0072553	5	0.04696
GO:0007405	9	0.04717
GO:0006354	8	0.04725
GO:0031032	11	0.04728
GO:0072089	10	0.04756
GO:0002064	27	0.04786
GO:0001578	6	0.04850
GO:1901988	6	0.04850
GO:2001141	111	0.04868
GO:1903506	111	0.04868
GO:0007110	4	0.04870
GO:0000079	4	0.04870
GO:1904029	4	0.04870
GO:0007283	18	0.04966
