GO.ID	test
GO:0006099	0.00026
GO:0046940	0.00028
GO:0006119	0.00072
GO:0045047	0.00100
GO:0015985	0.00105
GO:0140013	0.00143
GO:0006006	0.00209
GO:0051050	0.00228
GO:0000387	0.00283
GO:0051188	0.00314
GO:0032543	0.00386
GO:0006486	0.00401
GO:0008298	0.00486
GO:0006120	0.00488
GO:0006739	0.00813
GO:0045048	0.00813
GO:0002252	0.00818
GO:0016485	0.00821
GO:0043632	0.00956
GO:0005975	0.01084
GO:0045292	0.01238
GO:0045022	0.01238
GO:0110095	0.01242
GO:0006108	0.01242
GO:0071034	0.01242
GO:0043687	0.01242
GO:0006048	0.01242
GO:0009133	0.01242
GO:0061484	0.01242
GO:0009219	0.01242
GO:0046385	0.01242
GO:0065001	0.01242
GO:0070831	0.01242
GO:0050775	0.01242
GO:0072344	0.01242
GO:0000413	0.01251
GO:0000381	0.01415
GO:0042135	0.01768
GO:0031365	0.01768
GO:0006541	0.01768
GO:0016556	0.01768
GO:0070328	0.01768
GO:0000288	0.01790
GO:0030433	0.01790
GO:0033500	0.01790
GO:0022900	0.02140
GO:0006506	0.02222
GO:0038063	0.02377
GO:0009200	0.02377
GO:0045910	0.02377
GO:0005991	0.02377
GO:0046889	0.02404
GO:1905039	0.02404
GO:0000097	0.02404
GO:0006555	0.02404
GO:0061077	0.02404
GO:0044257	0.02701
GO:0072521	0.02790
GO:1901607	0.03219
GO:0006605	0.03239
GO:0035305	0.03790
GO:0032981	0.03790
GO:0050810	0.03790
GO:0071051	0.03790
GO:0061371	0.03790
GO:0045456	0.03790
GO:0090481	0.03790
GO:0034427	0.03790
GO:0046513	0.03790
GO:0051016	0.03790
GO:0042572	0.03790
GO:0006415	0.03790
GO:0030198	0.03947
GO:0097502	0.03980
GO:0006875	0.03985
GO:0015833	0.04825
GO:0072503	0.04980
