GO.ID	Term	Annotated	Significant	Expected	test
GO:0006259	DNA metabolic process	687	8	1.85	0.00015
GO:0140013	meiotic nuclear division	27	2	0.07	0.00229
GO:0048753	pigment granule organization	3	1	0.01	0.00806
GO:0090169	regulation of spindle assembly	3	1	0.01	0.00806
GO:0060236	regulation of mitotic spindle organizati...	4	1	0.01	0.01073
GO:0000022	mitotic spindle elongation	4	1	0.01	0.01073
GO:0006415	translational termination	5	1	0.01	0.01340
GO:0000212	meiotic spindle organization	5	1	0.01	0.01340
GO:0090307	mitotic spindle assembly	6	1	0.02	0.01606
GO:0031935	regulation of chromatin silencing	7	1	0.02	0.01871
GO:0007018	microtubule-based movement	82	2	0.22	0.01986
GO:0001578	microtubule bundle formation	13	1	0.04	0.03449
GO:0007098	centrosome cycle	13	1	0.04	0.03449
GO:0033047	regulation of mitotic sister chromatid s...	16	1	0.04	0.04228
