GO.ID	test
GO:0018209	0.014
GO:0035331	0.027
GO:0090278	0.027
GO:0014013	0.027
GO:0046464	0.027
GO:1904263	0.027
GO:0071034	0.027
GO:0071035	0.027
GO:0071038	0.027
GO:0015693	0.035
GO:0048680	0.035
GO:0046622	0.035
GO:0043928	0.035
GO:0090209	0.035
GO:0010884	0.035
GO:0018023	0.035
GO:0071033	0.035
GO:0006310	0.036
GO:0007186	0.040
GO:0048010	0.044
GO:0043666	0.044
GO:0001525	0.044
GO:0043491	0.044
GO:0034475	0.044
GO:0016255	0.044
GO:0034427	0.044
GO:0018202	0.044
GO:0090481	0.044
GO:0071051	0.044
GO:0050805	0.044
