GO.ID	Significant	test
GO:0031032	3	0.00097
GO:0051304	2	0.00382
GO:0030866	2	0.00485
GO:0043065	2	0.00803
GO:0007030	2	0.00915
GO:0061061	3	0.01054
GO:0000280	3	0.01129
GO:0048646	4	0.01157
GO:0007286	2	0.01192
GO:0048285	3	0.01272
GO:0007525	2	0.01326
GO:0048515	2	0.01395
GO:0061982	2	0.01395
GO:0043085	3	0.01570
GO:0008361	2	0.01612
GO:0007610	4	0.01768
GO:0051146	2	0.02213
GO:0044093	3	0.02277
GO:0007051	2	0.02343
GO:0010927	2	0.02612
GO:0032502	9	0.02638
GO:0042692	2	0.02704
GO:0050896	10	0.02760
GO:0140013	2	0.02846
GO:0098813	2	0.02846
GO:0001709	2	0.03038
GO:0007281	4	0.03223
GO:0030534	2	0.03490
GO:0006919	1	0.03548
GO:0051985	1	0.03548
GO:0050982	1	0.03548
GO:0007413	1	0.03780
GO:1904263	1	0.03780
GO:0051345	2	0.03805
GO:0010591	1	0.04012
GO:0034314	1	0.04012
GO:0051491	1	0.04012
GO:0050000	1	0.04012
GO:0051784	1	0.04012
GO:0006891	1	0.04012
GO:0106030	1	0.04012
GO:0022414	5	0.04059
GO:1902743	1	0.04243
GO:0000003	5	0.04399
GO:0032989	4	0.04409
GO:0051716	8	0.04452
GO:1903046	2	0.04468
GO:0043280	1	0.04474
GO:0046621	1	0.04474
GO:0030032	1	0.04474
GO:0007110	1	0.04474
GO:0042558	1	0.04474
GO:0051173	4	0.04506
GO:2001056	1	0.04704
GO:0097581	1	0.04704
GO:0030071	1	0.04704
GO:0120034	1	0.04704
GO:0003006	4	0.04778
GO:0032535	2	0.04814
GO:0007346	2	0.04873
GO:1902099	1	0.04933
GO:0016334	1	0.04933
GO:0061983	1	0.04933
GO:0006730	1	0.04933
GO:0007620	1	0.04933
GO:0031532	1	0.04933
