TRINITY_DN5835_c0_g1
TRINITY_DN29911_c0_g1_i1.p1	3880.AET04544	0.0	1048.0	COG2132@1|root,KOG1263@2759|Eukaryota,37IIR@33090|Viridiplantae,3G9TY@35493|Streptophyta,4JGP1@91835|fabids	33090|Viridiplantae	Q	Belongs to the multicopper oxidase family	-	-	1.10.3.3	ko:K00423	ko00053,ko01100,map00053,map01100	-	R00068	RC00092	ko00000,ko00001,ko01000	-	-	-	Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3
TRINITY_DN13039_c0_g1_i1.p1	3827.XP_004503360.1	2.33e-51	169.0	COG5126@1|root,KOG0027@2759|Eukaryota,37U1A@33090|Viridiplantae,3GI6M@35493|Streptophyta,4JPAJ@91835|fabids	33090|Viridiplantae	T	calcium-binding protein	-	GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006950,GO:0007275,GO:0008150,GO:0009266,GO:0009409,GO:0009628,GO:0009653,GO:0009888,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0016049,GO:0021700,GO:0022622,GO:0030154,GO:0032501,GO:0032502,GO:0040007,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046872,GO:0048364,GO:0048468,GO:0048469,GO:0048588,GO:0048589,GO:0048731,GO:0048764,GO:0048765,GO:0048767,GO:0048856,GO:0048869,GO:0050896,GO:0060560,GO:0071695,GO:0080147,GO:0090558,GO:0090627,GO:0099402,GO:1905392	-	ko:K13448	ko04626,map04626	-	-	-	ko00000,ko00001	-	-	-	EF-hand_1,EF-hand_5,EF-hand_7
TRINITY_DN5035_c0_g1_i1.p1	3827.XP_004495105.1	1.61e-53	172.0	2C7ZM@1|root,2S1PQ@2759|Eukaryota,37VKI@33090|Viridiplantae	33090|Viridiplantae	K	ethylene-responsive transcription factor	-	-	-	-	-	-	-	-	-	-	-	-	AP2
TRINITY_DN4691_c0_g1_i1.p1	3880.AES96702	1.66e-177	495.0	COG3000@1|root,KOG0874@2759|Eukaryota,37PP9@33090|Viridiplantae,3GC5F@35493|Streptophyta,4JIYX@91835|fabids	33090|Viridiplantae	I	Belongs to the sterol desaturase family	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005794,GO:0006629,GO:0006643,GO:0006665,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009314,GO:0009416,GO:0009628,GO:0009639,GO:0009640,GO:0009791,GO:0009987,GO:0012505,GO:0016020,GO:0016491,GO:0016705,GO:0030148,GO:0031984,GO:0032501,GO:0032502,GO:0042175,GO:0042284,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046467,GO:0046519,GO:0046520,GO:0048856,GO:0050896,GO:0055114,GO:0071704,GO:0097164,GO:0098827,GO:1901564,GO:1901566,GO:1901576	1.14.18.5	ko:K04713	ko00600,ko01100,map00600,map01100	-	R06525,R06526	RC00773	ko00000,ko00001,ko01000	-	-	-	FA_hydroxylase
TRINITY_DN2968_c1_g1_i2.p1	3880.AET01128	6.26e-111	326.0	2C7MT@1|root,2QR0V@2759|Eukaryota,37IGU@33090|Viridiplantae,3GB57@35493|Streptophyta,4JKQK@91835|fabids	33090|Viridiplantae	S	acid phosphatase	-	-	-	ko:K02866	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Acid_phosphat_B
TRINITY_DN46724_c0_g1_i2.p1	3880.AES72176	6.8e-168	495.0	28KAP@1|root,2QSRG@2759|Eukaryota,37MRC@33090|Viridiplantae,3GEVC@35493|Streptophyta,4JKH0@91835|fabids	33090|Viridiplantae	S	WEB family	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN325_c0_g1_i1.p1	3827.XP_004490296.1	1e-254	702.0	28H6H@1|root,2QPJ9@2759|Eukaryota,37K69@33090|Viridiplantae,3GECP@35493|Streptophyta,4JNEF@91835|fabids	33090|Viridiplantae	S	Protein of unknown function (DUF1262)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1262
TRINITY_DN1269_c0_g1_i1.p1	3880.AES69141	0.0	1175.0	KOG4658@1|root,KOG4658@2759|Eukaryota,37P43@33090|Viridiplantae,3GF32@35493|Streptophyta	33090|Viridiplantae	T	disease resistance	-	-	-	ko:K19613	ko04014,map04014	-	-	-	ko00000,ko00001	-	-	-	NB-ARC
TRINITY_DN17417_c0_g1_i1.p1	3827.XP_004502084.1	6.75e-82	250.0	2D220@1|root,2S4XE@2759|Eukaryota,37WDW@33090|Viridiplantae,3GJQK@35493|Streptophyta,4JQK1@91835|fabids	33090|Viridiplantae	S	VQ motif	-	-	-	-	-	-	-	-	-	-	-	-	VQ
TRINITY_DN3011_c0_g1_i6.p1	3827.XP_004485919.1	2.47e-238	675.0	2BG21@1|root,2S18F@2759|Eukaryota,37VJW@33090|Viridiplantae,3GJZU@35493|Streptophyta,4JQS6@91835|fabids	33090|Viridiplantae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN5939_c0_g1_i1.p1	3880.AES78716	1.38e-279	768.0	COG0515@1|root,KOG1187@2759|Eukaryota,37JR4@33090|Viridiplantae,3G75X@35493|Streptophyta	33090|Viridiplantae	T	belongs to the protein kinase superfamily	-	GO:0007275,GO:0008150,GO:0009555,GO:0032501,GO:0032502,GO:0048229,GO:0048856	2.7.11.1	ko:K04733	ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164	M00686	-	-	ko00000,ko00001,ko00002,ko01000,ko01001	-	-	-	PPR,Pkinase,Pkinase_Tyr
