transcript	homolog	mean_AD	mean_CT	logFC	padj	module_AD	module_CT
TRINITY_DN10044_c0_g1	sp|Q8MQS8|SP34_APIME	-	-	-	-	notGCN	notGCN
TRINITY_DN103_c4_g1	sp|B2D0J5|EST6_APIME	117.781954592482	97.1751996374403	-0.614627265051478	0.0395117673756283	7	7
TRINITY_DN105602_c0_g1	sp|Q7M4I3|SP4_BOMPE	-	-	-	-	notGCN	notGCN
TRINITY_DN10793_c0_g1	sp|B5U2W0|VSP_BOMIG	-	-	-	-	notGCN	notGCN
TRINITY_DN11387_c0_g1	sp|P0CH47|PA1_VESMG	15.818867885235	17.921502956875	0.30724667907427	0.820201889025307	notGCN	notGCN
TRINITY_DN1197_c1_g1	sp|Q7M4I3|SP4_BOMPE	62.3276718207852	73.8861215367798	0.441874191324014	0.433958433273986	15	3
TRINITY_DN12043_c0_g1	sp|B5U2W0|VSP_BOMIG	-	-	-	-	10	notGCN
TRINITY_DN12063_c0_g2	sp|Q7Z269|SP4_POLDO	12.1608689757128	6.08043448785642	-4.60469413453494	0.00220094717285037	notGCN	16
TRINITY_DN12177_c0_g1	sp|B5U2W0|VSP_BOMIG	-	-	-	-	notGCN	notGCN
TRINITY_DN1220_c0_g3	sp|B2D0J5|EST6_APIME	112.696977489598	58.6925882421651	-4.49757739362883	1.94393193050288e-19	notGCN	15
TRINITY_DN1230_c0_g2	sp|B2D0J5|EST6_APIME	548.40844880556	830.238789541212	1.01607087613285	3.21458685637335e-08	2	2
TRINITY_DN12578_c0_g1	sp|Q7M4I3|SP4_BOMPE	-	-	-	-	notGCN	notGCN
TRINITY_DN12812_c0_g2	sp|Q8MQS8|SP34_APIME	-	-	-	-	notGCN	notGCN
TRINITY_DN1320_c0_g1	sp|Q8MQS8|SP34_APIME	10.4278283807786	10610.6442528804	10.09179765587	4.69667071275351e-38	7	notGCN
TRINITY_DN13579_c0_g2	sp|B5U2W0|VSP_BOMIG	39.3900266104725	49.9917217498837	0.580420175900376	0.565251853159258	14	18
TRINITY_DN1358_c0_g1	sp|Q8T0W5|CVP1_PIMHY	316.019868117553	325.800187850043	0.0860975711046418	0.81674561823188	3	35
TRINITY_DN13771_c0_g1	sp|B2D0J5|EST6_APIME	225.885438972661	437.174615783407	1.5154172737724	2.70293689597122e-17	1	3
TRINITY_DN1399_c0_g1	sp|P0DSI2|PA1_DINQU	0.945439430662197	352.462413096597	9.02837413013923	5.68278136240958e-48	9	notGCN
TRINITY_DN14109_c0_g1	sp|Q8MQS8|SP34_APIME	-	-	-	-	notGCN	notGCN
TRINITY_DN14125_c0_g1	sp|Q7M4I3|SP4_BOMPE	16.1199054812043	8.05995274060216	-4.88862829878035	0.000896171058128419	notGCN	37
TRINITY_DN14125_c0_g2	sp|Q8MQS8|SP34_APIME	-	-	-	-	notGCN	notGCN
TRINITY_DN14125_c0_g4	sp|Q8MQS8|SP34_APIME	119.305846159243	59.6529230796217	-6.99768560574864	7.08454667374188e-08	notGCN	16
TRINITY_DN14834_c0_g2	sp|A0A3G5BID2|KAZL2_DOLGE	67.7754454717077	51.2816270042092	-0.949224523073502	0.0137991026578613	3	32
TRINITY_DN14834_c0_g2	sp|A0A3G5BID2|KAZL2_DOLGE	67.7754454717077	51.2816270042092	-0.949224523073502	0.0137991026578613	3	32
TRINITY_DN14834_c0_g2	sp|A0A3G5BID2|KAZL2_DOLGE	67.7754454717077	51.2816270042092	-0.949224523073502	0.0137991026578613	3	32
TRINITY_DN14834_c0_g2	sp|A0A3G5BID2|KAZL2_DOLGE	67.7754454717077	51.2816270042092	-0.949224523073502	0.0137991026578613	3	32
TRINITY_DN14834_c0_g2	sp|A0A3G5BID2|KAZL2_DOLGE	67.7754454717077	51.2816270042092	-0.949224523073502	0.0137991026578613	3	32
TRINITY_DN1561_c0_g1	sp|Q8MMG9|TREA_PIMHY	2977.6199006926	1816.41215033774	-2.15872320635495	2.34981041269352e-11	7	3
TRINITY_DN1598_c0_g1	sp|B5U2W0|VSP_BOMIG	1.94847155924119	8379.7297505795	12.5743184526377	3.19201997333377e-120	7	notGCN
TRINITY_DN16093_c0_g1	sp|P49369|PA1_VESVU	-	-	-	-	notGCN	notGCN
TRINITY_DN1684_c0_g1	sp|B5U2W0|VSP_BOMIG	74.1110187386791	570.048106308877	3.80791330663619	7.35315054605502e-40	notGCN	16
TRINITY_DN1707_c0_g1	sp|B2D0J4|VDPP4_APIME	125.34744249185	77.0773491317831	-2.09929101998401	2.38088078633661e-16	10	7
TRINITY_DN17430_c0_g1	sp|B5U2W0|VSP_BOMIG	15.4301361420056	17.0298045379075	0.265652250558408	0.737307613485139	notGCN	3
TRINITY_DN17572_c0_g1	sp|P35785|VA5_VESPE	-	-	-	-	notGCN	notGCN
TRINITY_DN1814_c0_g2	sp|Q5BLY5|ACPH1_APIME	192.841573969561	241.593244640898	0.58835640211457	0.000103897190282758	1	3
TRINITY_DN1867_c0_g1	sp|Q8MQS8|SP34_APIME	115.362039037479	95.1136379407772	-0.59362852954817	0.496244788946097	7	2
TRINITY_DN19194_c0_g1	sp|Q7M4I3|SP4_BOMPE	10.3528601973198	9.8224158139021	-0.102693062949503	0.965763130665121	notGCN	notGCN
TRINITY_DN1935_c0_g1	sp|B1A4F7|VDDP4_VESVU	505.821240037813	340.850560197224	-1.50993533368958	1.04668506959566e-07	3	23
TRINITY_DN1953_c0_g1	sp|B5AJT2|VMP01_EULPE	2257.22418884951	1129.61086828842	-9.45516965574583	3.98812221572009e-41	notGCN	notGCN
TRINITY_DN1957_c0_g1	sp|B2D0J5|EST6_APIME	49.1718010483334	26.3594899526518	-3.64591105799075	3.68194554684405e-14	notGCN	41
TRINITY_DN19751_c0_g1	sp|B2D0J5|EST6_APIME	12.0404614373583	6.1380389970336	-3.60305493012417	0.0204962208803104	notGCN	39
TRINITY_DN1976_c0_g1	sp|A0A3G5BID2|KAZL2_DOLGE	108.054176469817	65.8044766230139	-2.17981367431907	2.3824118138302e-13	notGCN	41
TRINITY_DN204_c0_g2	sp|Q7Z269|SP4_POLDO	53.9269294930694	92.6394829154708	1.2546738734522	0.0141515798028729	2	26
TRINITY_DN2095_c0_g2	sp|Q8MQS8|SP34_APIME	-	-	-	-	notGCN	notGCN
TRINITY_DN2112_c0_g1	sp|B2D0J5|EST6_APIME	2458.56916491517	2044.02479016584	-0.590400767383385	0.0100555163885738	9	16
TRINITY_DN2112_c0_g2	sp|B2D0J5|EST6_APIME	739.071748881228	1054.23909287011	0.887056557195488	5.98902570618425e-08	9	3
TRINITY_DN2161_c0_g1	sp|Q8MMH3|ARMT1_PIMHY	305.806988760806	413.156586197729	0.762360397743858	0.000229063526725579	notGCN	16
TRINITY_DN2164_c1_g1	sp|A0A6B9KZ40|GELS1_PLARH	283.637038304693	288.602091319168	0.0514674138750946	0.849955015143877	notGCN	2
TRINITY_DN2221_c0_g2	sp|Q6Q249|PA14_POLDO	94.5745053695514	47.6318789712128	-6.42965219850663	4.01486132459094e-17	notGCN	notGCN
TRINITY_DN2253_c0_g1	sp|B2D0J5|EST6_APIME	1134.26290555586	1220.51900729709	0.204455773483645	0.270769027744525	2	2
TRINITY_DN2305_c0_g1	sp|Q589G4|VKT19_ANOSM	144.759658404687	160.234776574625	0.277167353601904	0.452157238878169	3	4
TRINITY_DN2305_c0_g1	sp|Q589G4|VKT19_ANOSM	144.759658404687	160.234776574625	0.277167353601904	0.452157238878169	3	4
