## Thu Mar 24 15:06:54 2022
## emapper-2.1.7
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_9p4aw3d4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_9p4aw3d4 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_9p4aw3d4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 50557 --target_orthologs all --go_evidence all --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TRINITY_DN32444_c0_g1_i1.p1	7425.NV31204-PA	6.92e-12	68.2	COG2801@1|root,KOG0017@2759|Eukaryota,396RZ@33154|Opisthokonta,3CB3X@33208|Metazoa,3DSCH@33213|Bilateria,428FP@6656|Arthropoda,3SU2P@50557|Insecta,46MPY@7399|Hymenoptera	7425.NV31204-PA|-	L	Integrase core domain	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN36581_c0_g1_i1.p2	13249.RPRC014649-PA	5.45e-68	221.0	COG0464@1|root,KOG0730@2759|Eukaryota,38BWW@33154|Opisthokonta,3BIKJ@33208|Metazoa,3CU41@33213|Bilateria,41VPD@6656|Arthropoda,3SH2E@50557|Insecta,3E9CP@33342|Paraneoptera	50557|Insecta	O	Cell division protein 48 (CDC48) domain 2	TER94	GO:0000003,GO:0000166,GO:0000226,GO:0000323,GO:0000502,GO:0000902,GO:0000904,GO:0002165,GO:0003006,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005767,GO:0005773,GO:0005776,GO:0006508,GO:0006511,GO:0006807,GO:0006914,GO:0006996,GO:0007010,GO:0007017,GO:0007029,GO:0007030,GO:0007033,GO:0007040,GO:0007275,GO:0007276,GO:0007277,GO:0007279,GO:0007317,GO:0007349,GO:0007399,GO:0007552,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0009056,GO:0009057,GO:0009605,GO:0009607,GO:0009615,GO:0009653,GO:0009791,GO:0009886,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009968,GO:0009987,GO:0010256,GO:0010604,GO:0010623,GO:0010646,GO:0010648,GO:0010941,GO:0010942,GO:0012501,GO:0016043,GO:0016236,GO:0016320,GO:0016358,GO:0016787,GO:0017076,GO:0019222,GO:0019538,GO:0019725,GO:0019941,GO:0019953,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0023051,GO:0023057,GO:0030030,GO:0030111,GO:0030154,GO:0030162,GO:0030163,GO:0030178,GO:0030182,GO:0030554,GO:0031175,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0032268,GO:0032270,GO:0032434,GO:0032436,GO:0032501,GO:0032502,GO:0032504,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032984,GO:0032989,GO:0032990,GO:0032991,GO:0035069,GO:0035096,GO:0035639,GO:0035770,GO:0036094,GO:0036464,GO:0042176,GO:0042592,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043167,GO:0043168,GO:0043170,GO:0043186,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043523,GO:0043525,GO:0043632,GO:0043900,GO:0043902,GO:0043903,GO:0043933,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0044754,GO:0045169,GO:0045495,GO:0045595,GO:0045732,GO:0045862,GO:0045995,GO:0046596,GO:0046598,GO:0046716,GO:0048284,GO:0048468,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048524,GO:0048583,GO:0048585,GO:0048609,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048707,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050792,GO:0050793,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051239,GO:0051246,GO:0051247,GO:0051603,GO:0051704,GO:0051707,GO:0060033,GO:0060249,GO:0060255,GO:0060281,GO:0060284,GO:0060293,GO:0060341,GO:0060828,GO:0061024,GO:0061025,GO:0061136,GO:0061919,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0080090,GO:0080171,GO:0090090,GO:0090174,GO:0097159,GO:0097352,GO:0097367,GO:0098586,GO:0120036,GO:0120039,GO:1901214,GO:1901216,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901800,GO:1902494,GO:1902875,GO:1903050,GO:1903052,GO:1903362,GO:1903364,GO:1903429,GO:1903900,GO:1903902,GO:1904580,GO:1905368,GO:1905369,GO:1905879,GO:1990904,GO:2000026,GO:2000058,GO:2000060,GO:2000241	-	ko:K13525	ko04141,ko05134,map04141,map05134	M00400,M00403	-	-	ko00000,ko00001,ko00002,ko03019,ko04131,ko04147	3.A.16.1	-	-	AAA,CDC48_2,CDC48_N,Vps4_C
TRINITY_DN63405_c0_g1_i1.p1	13037.EHJ72366	9.15e-45	158.0	COG1048@1|root,KOG0453@2759|Eukaryota,38CNX@33154|Opisthokonta,3B95S@33208|Metazoa,3CSK2@33213|Bilateria,41XHZ@6656|Arthropoda,3SG8C@50557|Insecta,445DQ@7088|Lepidoptera	50557|Insecta	CE	Aconitase family (aconitate hydratase)	-	GO:0003674,GO:0003824,GO:0003994,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019752,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071704,GO:0072350	4.2.1.3	ko:K01681	ko00020,ko00630,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00173,M00740	R01324,R01325,R01900	RC00497,RC00498,RC00618	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase,Aconitase_C
TRINITY_DN67582_c0_g1_i1.p1	103372.F4WEV7	1.39e-76	237.0	COG5277@1|root,KOG0676@2759|Eukaryota,38C0D@33154|Opisthokonta,3BBGP@33208|Metazoa,3CRBJ@33213|Bilateria,41XDG@6656|Arthropoda,3SIU0@50557|Insecta,46JEY@7399|Hymenoptera	50557|Insecta	Z	Actin	Arp1	GO:0000003,GO:0000166,GO:0000228,GO:0000278,GO:0000281,GO:0000785,GO:0000790,GO:0000910,GO:0003006,GO:0003674,GO:0005198,GO:0005200,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005856,GO:0005884,GO:0006325,GO:0006338,GO:0006996,GO:0007010,GO:0007049,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007291,GO:0007349,GO:0008104,GO:0008144,GO:0008150,GO:0009653,GO:0009987,GO:0015629,GO:0016043,GO:0017076,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0030554,GO:0031011,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032507,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0033202,GO:0034613,GO:0035060,GO:0035148,GO:0035239,GO:0035295,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044446,GO:0044454,GO:0044464,GO:0044703,GO:0045185,GO:0048232,GO:0048468,GO:0048515,GO:0048609,GO:0048646,GO:0048856,GO:0048869,GO:0051179,GO:0051235,GO:0051276,GO:0051301,GO:0051641,GO:0051651,GO:0051704,GO:0061640,GO:0065007,GO:0065008,GO:0070013,GO:0070603,GO:0070727,GO:0071840,GO:0097159,GO:0097346,GO:0097367,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:1901265,GO:1901363,GO:1902494,GO:1903047,GO:1904949	-	ko:K05692	ko04015,ko04145,ko04210,ko04390,ko04391,ko04510,ko04520,ko04530,ko04611,ko04670,ko04714,ko04745,ko04810,ko04919,ko04921,ko05100,ko05110,ko05130,ko05131,ko05132,ko05164,ko05205,ko05225,ko05410,ko05412,ko05414,ko05416,ko05418,map04015,map04145,map04210,map04390,map04391,map04510,map04520,map04530,map04611,map04670,map04714,map04745,map04810,map04919,map04921,map05100,map05110,map05130,map05131,map05132,map05164,map05205,map05225,map05410,map05412,map05414,map05416,map05418	-	-	-	ko00000,ko00001,ko03019,ko03021,ko03029,ko03036,ko04147,ko04812	-	-	-	Actin
TRINITY_DN68740_c0_g1_i1.p1	136037.KDR16813	7.99e-67	207.0	COG0092@1|root,KOG3181@2759|Eukaryota,38CWQ@33154|Opisthokonta,3BI4I@33208|Metazoa,3CRZZ@33213|Bilateria,41VSR@6656|Arthropoda,3SGI5@50557|Insecta	50557|Insecta	J	Belongs to the universal ribosomal protein uS3 family	RpS3	GO:0000702,GO:0002181,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003723,GO:0003735,GO:0003824,GO:0003906,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006259,GO:0006281,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008534,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010941,GO:0015935,GO:0016363,GO:0016787,GO:0016798,GO:0016799,GO:0016829,GO:0016835,GO:0019104,GO:0019538,GO:0022626,GO:0022627,GO:0031974,GO:0031981,GO:0032356,GO:0032357,GO:0032991,GO:0033554,GO:0034399,GO:0034641,GO:0034645,GO:0042981,GO:0043043,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043523,GO:0043524,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060548,GO:0065007,GO:0070013,GO:0071704,GO:0090304,GO:0097159,GO:0140078,GO:0140097,GO:1901214,GO:1901215,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02985	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KH_2,Ribosomal_S3_C
TRINITY_DN75643_c0_g1_i1.p2	7165.AGAP005767-PA	2.07e-39	141.0	28IXN@1|root,2QR98@2759|Eukaryota,39EAC@33154|Opisthokonta,3BKWQ@33208|Metazoa,3D43U@33213|Bilateria,41WK9@6656|Arthropoda,3SIQN@50557|Insecta,4555R@7147|Diptera,45BSR@7148|Nematocera	50557|Insecta	S	Hexamerin 2 beta	-	GO:0003674,GO:0005575,GO:0005576,GO:0005615,GO:0005616,GO:0032991,GO:0044421,GO:0045735	-	-	-	-	-	-	-	-	-	-	Hemocyanin_C,Hemocyanin_M,Hemocyanin_N
TRINITY_DN90575_c0_g1_i1.p1	7070.TC011182-PA	2.43e-54	177.0	COG1358@1|root,KOG3166@2759|Eukaryota,38EEJ@33154|Opisthokonta,3BAKG@33208|Metazoa,3CY8U@33213|Bilateria,41XGR@6656|Arthropoda,3SFZE@50557|Insecta	50557|Insecta	J	It is involved in the biological process described with ribosome biogenesis	RpL7A	GO:0000470,GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022625,GO:0022626,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02936	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03009,ko03011	-	-	-	Ribosomal_L7Ae
## 23090 queries scanned
## Total time (seconds): 63.277307748794556
## Rate: 364.90 q/s
