hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
MAAI_maleylacetoacetateisomerase_GstZ2	5.87e-110	98	TRINITY_DN1421_c0_g1	0.689451555089514	0.107417436410258	-0.0593513901591596	0.962473026475915	-0.569674548681811	0.0607095386585307	0.694288131226778	0.0186068299794826	0.206122954766714	0.54921487624745	-0.299571268582666	0.416588083303104	2	18
HGD_homogentisate1,2dioxygenase	1.13e-118	86	TRINITY_DN1729_c0_g1	2.03695737353267	6.65850660560515e-09	1.85820656998042	0.000221860935762373	1.64270840368544	1.7429983388401e-06	1.46161526265454	3.23128914550879e-14	0.670654019946727	0.0841309928712131	1.10359285776838	1.64977689972737e-05	3	23
TAT_tyrosineaminotransferase	1.04e-82	93	TRINITY_DN2905_c0_g1	0.695362200889285	0.00357521155570135	0.948074035044016	0.0565273034605809	1.0903626493188	3.44728664107424e-07	0.431272647001475	0.172608081386023	0.367030018469452	0.359902418434224	0.536887530251716	0.0341365506921945	3	14
DDC_Dopadecarboxylase	0.0	81	TRINITY_DN3615_c0_g1	NA	NA	NA	NA	NA	NA	-0.067758148414364	0.931460423478807	0.0814041323311436	0.802551512385927	0.263136616964657	0.323238964990533	NA	7
TH_tyrosinehydroxylase	2.92e-142	98	TRINITY_DN3637_c0_g2	3.53157696314156	1.10051627271474e-17	2.92538017836156	5.49933685823386e-12	2.41194700504212	3.36623447829694e-11	3.1327353290005	3.63631696697166e-18	1.73826916854626	0.000151233921170897	1.83787844540593	3.57992436187258e-07	3	23
FAH_fumarylacetoacetase	2.60e-165	99	TRINITY_DN4060_c0_g1	-0.330176083366283	0.259835219178309	0.0185471926844994	0.990347145486357	-0.257291495466898	0.38799832867802	-0.591131765713603	4.92026275564129e-05	-0.636829179850544	0.000298303603561274	-0.63976235145337	0.00201492255055986	2	3
DDC_Dopadecarboxylase	0.0	99	TRINITY_DN5074_c0_g1	-0.782247307270118	0.0428314490059414	-1.10858885551916	1	-0.0325938472016119	0.959883311429954	-0.506445217237822	0.0237420112151877	-0.530176617911932	0.217812148489692	-0.134978066224303	0.688869525142106	NA	26
DDC_Dopadecarboxylase	3.29e-23	80	TRINITY_DN5325_c0_g1	-0.828886886765923	0.435610475361077	-0.854707608040602	0.521748136996934	0.555553146606066	1	0.0611334873093643	0.92248233764361	0.0484202166876434	0.861953581128181	0.17463635517432	0.525487849494168	NA	30
TH_tyrosinehydroxylase	1.71e-63	88	TRINITY_DN6321_c0_g1	NA	NA	NA	NA	NA	NA	-0.0257071826122586	0.987055518525891	0.0562987063833327	1	0.406871115661488	1	NA	7
TH_tyrosinehydroxylase	0.0	98	TRINITY_DN9460_c0_g1	-0.227944291980151	0.672188720170183	-1.02584216587273	0.19426886993207	-0.664650398315456	0.05986705464871	-0.333021479042609	0.270723822996654	-1.19909268547263	3.05215601217118e-05	-0.690482577298573	0.00562953507244016	NA	3
