hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
DNAT2_DROME_arylalkylamine-N-acetyltransferase-2	2.17e-08	94	TRINITY_DN1047_c2_g1	-1.18842307381789	0.000338381701168823	-1.28056327679061	1.55517396341995e-06	-1.39987549344856	0.00282085302507612	0.214112041162765	0.855230901303576	0.245933666431133	0.57482018506421	0.204486531768124	0.760293295869496	1	27
EBO_DROME_N-beta-alanyl-dopamine-synthetase	1.74e-11	90	TRINITY_DN1634_c0_g1	-0.431936658980129	0.33392614176914	-0.314541567604162	0.610270318117627	-0.00323331807418278	0.995437625854489	-0.259607551625554	0.0883297906646353	-0.569209967060491	0.000250007975390011	-0.537160701572809	1.99344925694059e-07	12	3
HGD_DROME_Homogentisate-1,2-dioxygenase	1.47e-118	86	TRINITY_DN1729_c0_g1	2.03695737353267	6.65850660560515e-09	1.85820656998042	0.000221860935762373	1.64270840368544	1.7429983388401e-06	1.46161526265454	3.23128914550879e-14	0.670654019946727	0.0841309928712131	1.10359285776838	1.64977689972737e-05	3	23
PAIN_DROME-Painless	7.15e-71	82	TRINITY_DN1855_c1_g2	-0.512657575965691	0.327783685995242	-0.677301054834964	0.26035145544284	-0.656536601796397	0.126639192554436	-0.216803101780373	0.557232084023477	-0.125224513385637	0.654156097979669	-0.184479608717176	0.640038857497358	1	9
G6PD_DROME_Glucose-6-phosphate-1-dehydrogenase	0.0	98	TRINITY_DN22693_c0_g1	-0.89193846637539	0.00892517189203118	-0.99321029086246	0.0255394305221986	-0.866817719815915	0.0172139686103518	-1.35384941432079	1.19905349861998e-11	-1.54066932330709	8.97971565715744e-17	-1.45309402735604	1.11680673965494e-12	1	3
PPO2_DROME_prophenoloxidase-2	1.27e-166	91	TRINITY_DN2314_c0_g1	0.150556842491763	0.893510420746877	0.555425366781115	0.493644991878264	0.0991129172858618	0.888005674045242	-0.546751106604462	0.0172846342687559	-0.680574387944855	0.00731344754058595	-0.726057451781507	0.0381919542352179	2	2
PPO3_DROME_prophenoloxidase-3	7.79e-63	87	TRINITY_DN32976_c0_g1	1.38514771277809	0.242283604091288	0.600758370350055	0.730105227073467	0.409522849838543	0.718664994325797	NA	NA	NA	NA	NA	NA	NA	NA
A0A6P4F8I2_DRORH_dual-oxidase-maturation-factor-1	9.41e-82	96	TRINITY_DN3352_c0_g1	0.897895334440072	0.0998428544526822	1.58055502968407	0.00406371905529218	0.844379393555167	0.107405219197722	0.379284491273787	1	0.0925433367199178	1	0.525492495266096	1	3	NA
EBO_DROME_N-beta-alanyl-dopamine-synthetase	1.15e-17	83	TRINITY_DN3771_c0_g1	-0.545062607011942	0.0151311691000202	-0.888796905864961	0.00498133631587398	-0.790027802539199	0.0134821229912033	-0.208457877087129	0.630316767067615	-0.683771390150477	0.000198617748412836	-0.561940862973865	0.0139122260037023	9	3
EBO_DROME_N-beta-alanyl-dopamine-synthetase	0.0	99	TRINITY_DN7129_c0_g1	NA	NA	NA	NA	NA	NA	0.182765909457351	0.766625846691883	0.529216368234596	0.0498609120454257	0.394108781029312	0.140373417455983	NA	41
PAIN_DROME-Painless	3.26e-22	94	TRINITY_DN7824_c0_g1	NA	NA	NA	NA	0.0799849138482659	1	NA	NA	NA	NA	NA	NA	NA	NA
EBO_DROME_N-beta-alanyl-dopamine-synthetase	5.77e-14	89	TRINITY_DN8869_c0_g1	2.02542940830057	0.0241250393244761	0.699266308586137	0.628896858742425	0.356767593989778	1	NA	NA	NA	NA	NA	NA	NA	NA
