hit	evalue	qcover	transcript	mean_AD	mean_CT	logFC	padj	module_AD	module_CT
DNAT2_DROME_arylalkylamine-N-acetyltransferase-2	2.17e-08	94	TRINITY_DN1047_c2_g1	46.2591619860865	87.4326738389199	1.46163576426805	4.04384607516767e-06	1	27
EBO_DROME_N-beta-alanyl-dopamine-synthetase	1.74e-11	90	TRINITY_DN1634_c0_g1	339.569559803786	362.33209546824	0.17871738060636	0.600834964655208	12	3
HGD_DROME_Homogentisate-1,2-dioxygenase	1.47e-118	86	TRINITY_DN1729_c0_g1	663.152856523956	3022.74763927099	3.00358743662911	7.0588889537858e-43	3	23
PAIN_DROME-Painless	7.15e-71	82	TRINITY_DN1855_c1_g2	82.2994261549899	90.1792706171774	0.251667390539329	0.498775750195303	1	9
G6PD_DROME_Glucose-6-phosphate-1-dehydrogenase	0.0	98	TRINITY_DN22693_c0_g1	81.9901225972656	117.324098821034	0.889798407848433	0.00415840328283421	1	3
PPO2_DROME_prophenoloxidase-2	1.27e-166	91	TRINITY_DN2314_c0_g1	701.081953252676	1107.45165694041	1.10258562178575	2.77847711634975e-05	2	2
PPO3_DROME_prophenoloxidase-3	7.79e-63	87	TRINITY_DN32976_c0_g1	0.80667023747951	18.3634937230724	4.68135298803427	1.29208852707683e-05	notGCN	notGCN
A0A6P4F8I2_DRORH_dual-oxidase-maturation-factor-1	9.41e-82	96	TRINITY_DN3352_c0_g1	14.7918896527282	64.6639947303902	2.8634383372765	6.75337034597711e-08	3	notGCN
EBO_DROME_N-beta-alanyl-dopamine-synthetase	1.15e-17	83	TRINITY_DN3771_c0_g1	984.747029312222	968.195692250429	-0.0490645163526288	0.912955420926637	9	3
EBO_DROME_N-beta-alanyl-dopamine-synthetase	0.0	99	TRINITY_DN7129_c0_g1	97.1742394578454	49.3098743533551	-5.75421755631398	2.31077473319098e-21	notGCN	41
PAIN_DROME-Painless	3.26e-22	94	TRINITY_DN7824_c0_g1	-	-	-	-	notGCN	notGCN
EBO_DROME_N-beta-alanyl-dopamine-synthetase	5.77e-14	89	TRINITY_DN8869_c0_g1	0	9.0774877109534	6.15961173788464	1.41468185349635e-06	notGCN	notGCN
