transcript	stratum	expression
TRINITY_DN0_c0_g1	SPE	-
TRINITY_DN0_c85_g1	SPE	-
TRINITY_DN100000_c0_g1	species-specific	-
TRINITY_DN10000_c0_g1	ANG	-
TRINITY_DN100013_c0_g1	species-specific	-
TRINITY_DN100019_c0_g1	SPE	-
TRINITY_DN10001_c0_g1	ANG	-
TRINITY_DN10002_c0_g1	PAP	-
TRINITY_DN10003_c0_g1	SPE	-
TRINITY_DN100048_c0_g1	species-specific	-
TRINITY_DN100049_c0_g1	ANG	-
TRINITY_DN10004_c0_g1	ANG	-
TRINITY_DN10005_c0_g1	ANG	-
TRINITY_DN10006_c0_g1	ANG	-
TRINITY_DN10006_c0_g2	ANG	-
TRINITY_DN10006_c1_g1	ANG	-
TRINITY_DN10006_c1_g4	species-specific	-
TRINITY_DN10006_c1_g5	SPE	-
TRINITY_DN100073_c0_g1	species-specific	-
TRINITY_DN100075_c0_g1	ANG	-
TRINITY_DN10007_c0_g1	PAP	-
TRINITY_DN10007_c1_g1	species-specific	-
TRINITY_DN100092_c0_g1	species-specific	-
TRINITY_DN10009_c0_g1	species-specific	-
TRINITY_DN10009_c0_g6	SPE	-
TRINITY_DN10009_c1_g1	species-specific	-
TRINITY_DN1000_c0_g1	SPE	-
TRINITY_DN10010_c0_g1	ANG	-
TRINITY_DN100113_c0_g1	PAP	-
TRINITY_DN10011_c0_g1	species-specific	-
TRINITY_DN100127_c0_g1	PAP	-
TRINITY_DN100162_c0_g1	species-specific	-
TRINITY_DN100163_c0_g1	ANG	-
TRINITY_DN100174_c0_g1	species-specific	-
TRINITY_DN100175_c0_g1	species-specific	-
TRINITY_DN100178_c0_g1	species-specific	-
TRINITY_DN10017_c0_g1	ANG	-
TRINITY_DN100180_c0_g1	species-specific	-
TRINITY_DN10019_c0_g1	PAP	-
TRINITY_DN1001_c0_g1	ANG	-
TRINITY_DN100202_c0_g1	species-specific	-
TRINITY_DN100208_c0_g1	species-specific	-
TRINITY_DN100209_c0_g1	species-specific	-
TRINITY_DN10021_c0_g1	ANG	-
TRINITY_DN100221_c0_g1	ANG	-
TRINITY_DN10022_c0_g1	ANG	-
TRINITY_DN10023_c0_g1	ANG	-
TRINITY_DN100245_c0_g1	PAP	-
TRINITY_DN10024_c0_g1	PAP	-
TRINITY_DN10025_c0_g1	species-specific	-
TRINITY_DN10025_c0_g3	SPE	-
TRINITY_DN10025_c0_g4	SPE	-
TRINITY_DN100272_c0_g1	species-specific	-
TRINITY_DN100277_c0_g1	species-specific	-
TRINITY_DN10027_c0_g1	ANG	-
TRINITY_DN10028_c1_g1	PAP	-
TRINITY_DN100292_c0_g1	species-specific	-
TRINITY_DN100295_c0_g1	species-specific	-
TRINITY_DN10030_c0_g1	ANG	-
TRINITY_DN100312_c0_g1	PAP	-
TRINITY_DN100333_c0_g1	species-specific	-
TRINITY_DN100337_c0_g1	ANG	-
TRINITY_DN100344_c0_g1	PAP	-
TRINITY_DN10034_c0_g1	ANG	-
TRINITY_DN100359_c0_g1	species-specific	-
TRINITY_DN10035_c0_g1	ANG	-
TRINITY_DN100374_c0_g1	species-specific	-
TRINITY_DN10037_c0_g1	ANG	-
TRINITY_DN10037_c0_g2	SPE	-
TRINITY_DN10038_c0_g1	SPE	-
TRINITY_DN10038_c0_g2	SPE	-
TRINITY_DN100394_c0_g1	FAB	-
TRINITY_DN10039_c0_g1	ANG	-
TRINITY_DN1003_c0_g1	ANG	-
TRINITY_DN100405_c0_g1	SPE	-
TRINITY_DN100410_c0_g1	ANG	-
TRINITY_DN100417_c0_g1	ANG	-
TRINITY_DN10041_c0_g1	ANG	-
TRINITY_DN100423_c0_g1	species-specific	-
TRINITY_DN100424_c0_g1	species-specific	-
TRINITY_DN10043_c0_g1	ANG	-
TRINITY_DN100444_c0_g1	species-specific	-
TRINITY_DN10044_c0_g1	ANG	-
TRINITY_DN10045_c0_g1	SPE	-
TRINITY_DN100465_c0_g1	ANG	-
TRINITY_DN100466_c0_g1	ANG	-
TRINITY_DN10046_c0_g1	FAB	-
TRINITY_DN10047_c0_g1	PAP	-
TRINITY_DN100488_c0_g1	SPE	-
TRINITY_DN10048_c0_g1	SPE	-
TRINITY_DN100494_c0_g1	species-specific	-
TRINITY_DN100499_c0_g1	species-specific	-
TRINITY_DN10049_c0_g1	ANG	-
TRINITY_DN1004_c0_g2	species-specific	-
TRINITY_DN100500_c0_g1	species-specific	-
TRINITY_DN10050_c0_g1	ANG	-
TRINITY_DN100513_c0_g1	ANG	-
TRINITY_DN100516_c0_g1	ANG	-
TRINITY_DN10051_c0_g1	SPE	-
TRINITY_DN10052_c0_g1	PAP	-
TRINITY_DN100538_c0_g1	species-specific	-
TRINITY_DN100545_c0_g1	species-specific	-
TRINITY_DN100549_c0_g1	ANG	-
TRINITY_DN10054_c0_g1	ANG	-
TRINITY_DN100551_c0_g1	species-specific	-
TRINITY_DN10055_c0_g1	ANG	-
TRINITY_DN10055_c0_g2	ANG	-
TRINITY_DN100563_c0_g1	SPE	-
TRINITY_DN100567_c0_g1	species-specific	-
TRINITY_DN10057_c0_g1	SPE	-
TRINITY_DN10058_c0_g3	species-specific	-
TRINITY_DN1005_c0_g1	ANG	-
TRINITY_DN1005_c0_g3	ANG	-
TRINITY_DN100600_c0_g1	species-specific	-
TRINITY_DN100603_c0_g1	FAB	-
TRINITY_DN10060_c0_g1	ANG	-
TRINITY_DN10061_c0_g1	ANG	-
TRINITY_DN100621_c0_g1	species-specific	-
TRINITY_DN100627_c0_g1	species-specific	-
TRINITY_DN10062_c0_g1	PAP	-
TRINITY_DN100655_c0_g1	species-specific	-
TRINITY_DN100660_c0_g1	ANG	-
TRINITY_DN10066_c0_g1	ANG	-
TRINITY_DN100670_c0_g1	SPE	-
TRINITY_DN1006_c1_g1	ANG	-
TRINITY_DN1006_c1_g2	ANG	-
TRINITY_DN100702_c0_g1	species-specific	-
TRINITY_DN100708_c0_g1	species-specific	-
TRINITY_DN10070_c1_g1	SPE	-
TRINITY_DN10071_c0_g1	ANG	-
TRINITY_DN10072_c0_g1	ANG	-
TRINITY_DN10073_c0_g1	ANG	-
TRINITY_DN10075_c0_g1	ANG	-
TRINITY_DN100767_c0_g1	species-specific	-
TRINITY_DN10076_c0_g1	ANG	-
TRINITY_DN100772_c0_g1	species-specific	-
TRINITY_DN10077_c0_g1	PAP	-
TRINITY_DN10078_c1_g2	ANG	-
TRINITY_DN10078_c1_g3	ANG	-
TRINITY_DN100798_c0_g1	ANG	-
TRINITY_DN10079_c0_g1	ANG	-
TRINITY_DN1007_c0_g1	ANG	-
TRINITY_DN100801_c0_g1	SPE	-
TRINITY_DN100817_c0_g1	species-specific	-
TRINITY_DN100819_c0_g1	PAP	-
TRINITY_DN10081_c0_g1	ANG	-
TRINITY_DN100842_c0_g1	species-specific	-
TRINITY_DN10084_c0_g1	ANG	-
TRINITY_DN100864_c0_g1	SPE	-
TRINITY_DN100867_c0_g1	ANG	-
TRINITY_DN10086_c0_g1	SPE	-
TRINITY_DN10087_c0_g1	ANG	-
TRINITY_DN10088_c0_g1	ANG	-
TRINITY_DN1008_c0_g1	ANG	-
TRINITY_DN100910_c0_g1	species-specific	-
TRINITY_DN100945_c0_g1	ANG	-
TRINITY_DN100949_c0_g1	species-specific	-
TRINITY_DN100952_c0_g1	ANG	-
TRINITY_DN10095_c0_g1	ANG	-
TRINITY_DN100969_c0_g1	ROS	-
TRINITY_DN100972_c0_g1	EUD	-
TRINITY_DN100982_c0_g1	SPE	-
TRINITY_DN100989_c0_g1	species-specific	-
TRINITY_DN10098_c0_g1	ANG	-
TRINITY_DN100991_c0_g1	species-specific	-
TRINITY_DN10099_c0_g1	ANG	-
TRINITY_DN1009_c0_g1	ANG	-
TRINITY_DN1009_c1_g1	ANG	-
TRINITY_DN100_c1_g1	PAP	-
TRINITY_DN10101_c0_g5	ANG	-
TRINITY_DN10102_c0_g1	ANG	-
TRINITY_DN10103_c0_g1	ANG	-
TRINITY_DN101054_c0_g1	ANG	-
TRINITY_DN10105_c0_g2	ANG	-
TRINITY_DN101067_c0_g1	species-specific	-
TRINITY_DN10107_c0_g1	ANG	-
TRINITY_DN10108_c0_g1	ANG	-
TRINITY_DN101094_c0_g1	ANG	-
TRINITY_DN1010_c0_g1	SPE	-
TRINITY_DN10111_c0_g1	PAP	-
TRINITY_DN101121_c0_g1	species-specific	-
TRINITY_DN101146_c0_g1	EUD	-
TRINITY_DN10114_c0_g1	ANG	-
TRINITY_DN101157_c0_g1	ANG	-
TRINITY_DN10115_c0_g1	ANG	-
TRINITY_DN10117_c0_g1	ANG	-
TRINITY_DN10118_c0_g1	ANG	-
TRINITY_DN101195_c0_g1	species-specific	-
TRINITY_DN10119_c0_g1	ANG	-
TRINITY_DN10119_c1_g1	ANG	-
TRINITY_DN10119_c2_g1	PAP	-
TRINITY_DN1011_c0_g1	SPE	-
TRINITY_DN101208_c0_g1	ANG	-
TRINITY_DN10120_c0_g1	ANG	-
TRINITY_DN10121_c0_g1	species-specific	-
TRINITY_DN101223_c0_g1	species-specific	-
TRINITY_DN10122_c0_g1	SPE	-
TRINITY_DN101232_c0_g1	species-specific	-
TRINITY_DN10123_c0_g2	species-specific	-
TRINITY_DN101247_c0_g1	ANG	-
TRINITY_DN10124_c0_g1	ROS	-
TRINITY_DN101255_c0_g1	species-specific	-
TRINITY_DN101259_c0_g1	species-specific	-
TRINITY_DN10128_c0_g1	ANG	-
TRINITY_DN101293_c0_g1	PAP	-
TRINITY_DN10129_c0_g1	ANG	-
TRINITY_DN1012_c0_g1	ANG	-
TRINITY_DN101300_c0_g1	EUD	-
TRINITY_DN101315_c0_g1	ROS	-
TRINITY_DN101318_c0_g1	ANG	-
TRINITY_DN101320_c0_g1	species-specific	-
TRINITY_DN101326_c0_g1	ANG	-
TRINITY_DN10132_c0_g1	ANG	-
TRINITY_DN101349_c0_g1	species-specific	-
TRINITY_DN101358_c0_g1	species-specific	-
TRINITY_DN101364_c0_g1	ANG	-
TRINITY_DN101367_c0_g1	PAP	-
TRINITY_DN10136_c0_g1	SPE	DN
TRINITY_DN101388_c0_g1	ANG	-
TRINITY_DN10138_c0_g1	ANG	-
TRINITY_DN10139_c0_g1	species-specific	-
TRINITY_DN1013_c1_g1	SPE	UP
TRINITY_DN10140_c0_g1	SPE	-
TRINITY_DN101410_c0_g1	EUD	-
TRINITY_DN101416_c0_g1	ANG	-
TRINITY_DN101419_c0_g1	species-specific	-
TRINITY_DN10141_c0_g1	ROS	-
TRINITY_DN101429_c0_g1	PAP	-
TRINITY_DN10144_c0_g1	SPE	-
TRINITY_DN101461_c0_g1	species-specific	-
TRINITY_DN101463_c0_g1	PAP	-
TRINITY_DN101470_c0_g1	PAP	-
TRINITY_DN10147_c0_g1	SPE	-
TRINITY_DN101487_c0_g1	ANG	-
TRINITY_DN101488_c0_g1	SPE	-
TRINITY_DN10149_c0_g1	species-specific	-
TRINITY_DN10149_c0_g2	SPE	-
TRINITY_DN101507_c0_g1	species-specific	-
TRINITY_DN10150_c0_g1	PAP	-
TRINITY_DN101512_c0_g1	ANG	-
TRINITY_DN101518_c0_g1	ANG	-
TRINITY_DN10151_c0_g1	species-specific	-
TRINITY_DN10151_c0_g4	species-specific	-
TRINITY_DN10152_c0_g1	ANG	-
TRINITY_DN10153_c0_g1	PAP	-
TRINITY_DN10155_c0_g1	species-specific	-
TRINITY_DN101563_c0_g1	PAP	-
TRINITY_DN10156_c0_g1	ANG	-
TRINITY_DN10156_c0_g2	ANG	-
TRINITY_DN10156_c1_g1	SPE	-
TRINITY_DN10156_c1_g3	ANG	-
TRINITY_DN10156_c2_g1	SPE	-
TRINITY_DN10156_c3_g1	ANG	-
TRINITY_DN10157_c0_g1	ANG	-
TRINITY_DN10157_c0_g2	PAP	-
TRINITY_DN10157_c0_g3	ANG	-
TRINITY_DN10157_c5_g1	ANG	-
TRINITY_DN10159_c0_g1	ANG	-
TRINITY_DN1015_c1_g1	SPE	-
TRINITY_DN101613_c0_g1	species-specific	-
TRINITY_DN101614_c0_g1	species-specific	-
TRINITY_DN101618_c0_g1	species-specific	-
TRINITY_DN10162_c0_g1	ANG	-
TRINITY_DN101645_c0_g1	species-specific	-
TRINITY_DN10164_c0_g1	species-specific	-
TRINITY_DN10165_c0_g1	ANG	-
TRINITY_DN101663_c0_g1	PAP	-
TRINITY_DN10166_c0_g1	ANG	-
TRINITY_DN101675_c0_g1	ANG	-
TRINITY_DN101685_c0_g1	EUD	-
TRINITY_DN1016_c0_g1	ANG	-
TRINITY_DN10170_c0_g1	species-specific	-
TRINITY_DN101714_c0_g1	species-specific	-
TRINITY_DN10171_c0_g1	ANG	-
TRINITY_DN10172_c0_g1	ANG	-
TRINITY_DN10173_c0_g1	species-specific	-
TRINITY_DN10173_c1_g3	ANG	-
TRINITY_DN10174_c0_g1	species-specific	-
TRINITY_DN10174_c0_g3	species-specific	-
TRINITY_DN101756_c0_g1	PAP	-
TRINITY_DN101776_c0_g1	PAP	-
TRINITY_DN10177_c0_g1	ANG	-
TRINITY_DN10177_c0_g3	ANG	-
TRINITY_DN101785_c0_g1	species-specific	-
