TRINITY_DN98995_c0_g1
TRINITY_DN999_c0_g1_i10.p1	3827.XP_004496671.1	5.31e-92	273.0	2CXS2@1|root,2RZBJ@2759|Eukaryota,37UKH@33090|Viridiplantae,3GIWX@35493|Streptophyta,4JPF0@91835|fabids	33090|Viridiplantae	S	Early light-induced protein	ELIP	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0006950,GO:0008150,GO:0009266,GO:0009314,GO:0009408,GO:0009409,GO:0009411,GO:0009416,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0009628,GO:0009637,GO:0009639,GO:0009642,GO:0009644,GO:0009889,GO:0009987,GO:0010029,GO:0010030,GO:0010114,GO:0010117,GO:0010218,GO:0010224,GO:0010380,GO:0016020,GO:0019222,GO:0031323,GO:0031326,GO:0031976,GO:0031984,GO:0033554,GO:0034357,GO:0034605,GO:0034644,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0048518,GO:0048580,GO:0048582,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051171,GO:0051179,GO:0051193,GO:0051234,GO:0051239,GO:0051240,GO:0051716,GO:0055035,GO:0055085,GO:0065007,GO:0070141,GO:0071214,GO:0071478,GO:0071482,GO:0071483,GO:0071484,GO:0071486,GO:0071489,GO:0071490,GO:0071491,GO:0071492,GO:0080167,GO:0090056,GO:0104004,GO:1900140,GO:1901401,GO:1901463,GO:2000026	-	-	-	-	-	-	-	-	-	-	Chloroa_b-bind
TRINITY_DN17459_c0_g2
TRINITY_DN8462_c0_g1
TRINITY_DN15360_c0_g1_i1.p1	3880.AES99961	1.08e-75	229.0	2BJVZ@1|root,2S1HB@2759|Eukaryota,37V95@33090|Viridiplantae,3GJG5@35493|Streptophyta,4JQ1X@91835|fabids	33090|Viridiplantae	S	thylakoid lumenal P17.1 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN12247_c0_g1_i2.p1	3880.AES79941	2.25e-132	394.0	KOG4197@1|root,KOG4197@2759|Eukaryota,37HRS@33090|Viridiplantae,3GASU@35493|Streptophyta,4JCYY@91835|fabids	33090|Viridiplantae	S	Pentatricopeptide repeat-containing protein	-	GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363	-	-	-	-	-	-	-	-	-	-	PPR
TRINITY_DN1143_c1_g1
TRINITY_DN2894_c0_g1_i1.p1	3827.XP_004513548.1	0.0	947.0	2CJU3@1|root,2QUU5@2759|Eukaryota,37MRY@33090|Viridiplantae,3G9NG@35493|Streptophyta,4JIT2@91835|fabids	33090|Viridiplantae	G	Beta-amylase	-	GO:0000272,GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0005982,GO:0005983,GO:0006073,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009605,GO:0009607,GO:0009987,GO:0016052,GO:0016160,GO:0016161,GO:0016787,GO:0016798,GO:0043170,GO:0043207,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051704,GO:0051707,GO:0071704,GO:0080027,GO:1901575	3.2.1.2	ko:K01177	ko00500,map00500	-	R02112,R11262	-	ko00000,ko00001,ko01000	-	GH14	-	Glyco_hydro_14
TRINITY_DN3756_c0_g1_i1.p1	3847.GLYMA06G05200.1	4.29e-119	353.0	COG0654@1|root,KOG1298@2759|Eukaryota,37M2X@33090|Viridiplantae,3G8B7@35493|Streptophyta,4JJS7@91835|fabids	33090|Viridiplantae	I	Squalene monooxygenase-like	-	GO:0001101,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006629,GO:0006694,GO:0006950,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0009414,GO:0009415,GO:0009628,GO:0010035,GO:0012505,GO:0016125,GO:0016126,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901700	1.14.14.17	ko:K00511	ko00100,ko00909,ko01100,ko01110,ko01130,map00100,map00909,map01100,map01110,map01130	-	R02874	RC00201	ko00000,ko00001,ko01000	-	-	-	SE
TRINITY_DN13079_c1_g3
TRINITY_DN5338_c0_g1_i1.p1	3827.XP_004510245.1	9.96e-309	845.0	COG0020@1|root,2QPJ7@2759|Eukaryota,37PU7@33090|Viridiplantae,3GBJP@35493|Streptophyta,4JJM9@91835|fabids	33090|Viridiplantae	I	1-deoxy-D-xylulose 5-phosphate reductoisomerase	DXR	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009240,GO:0009987,GO:0016114,GO:0016491,GO:0016614,GO:0016616,GO:0019288,GO:0019637,GO:0019682,GO:0019752,GO:0030145,GO:0030604,GO:0032787,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0046490,GO:0046872,GO:0046914,GO:0048037,GO:0050661,GO:0050662,GO:0051483,GO:0051484,GO:0055114,GO:0070402,GO:0071704,GO:0090407,GO:0097159,GO:1901135,GO:1901265,GO:1901363,GO:1901576	1.1.1.267	ko:K00099	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05688	RC01452	ko00000,ko00001,ko00002,ko01000	-	-	-	DXPR_C,DXP_redisom_C,DXP_reductoisom
