hit	evalue	qcover	transcript	mean_AD	mean_CT	logFC	padj	module_AD	module_CT
CG2767	2.70e-28	91	TRINITY_DN102948_c0_g1	-	-	-	-	notGCN	notGCN
drat	4.02e-77	97	TRINITY_DN1029_c0_g1	3461.59091634104	3515.83935810715	0.044096595953956	0.892448125675044	10	1
TpnC41C	2.00e-41	98	TRINITY_DN103_c1_g2	6110.30926441445	4376.9929651337	-1.20610123159059	5.54112030624493e-22	11	15
Pka-C1	2.58e-17	83	TRINITY_DN1066_c0_g1	115.71447713911	176.539245397105	1.02986636769313	0.000359724273596762	2	2
CG5104	1.05e-75	99	TRINITY_DN1104_c0_g1	198.711801191659	184.856618501061	-0.21425558573221	0.721849633624245	1	44
CG5966	4.22e-28	90	TRINITY_DN11387_c0_g1	15.818867885235	17.921502956875	0.30724667907427	0.820201889025307	notGCN	notGCN
CG7378	1.57e-64	93	TRINITY_DN1140_c0_g1	190.27666219359	198.271392251129	0.115019575982388	0.77129870822411	1	3
CG5498	2.46e-53	85	TRINITY_DN117_c0_g1	784.253406195759	2340.34674777824	2.29989292470241	1.32324108888076e-26	13	35
alfa-Esterase-8	1.26e-59	90	TRINITY_DN1230_c0_g2	548.40844880556	830.238789541212	1.01607087613285	3.21458685637335e-08	2	2
tailless	9.43e-65	83	TRINITY_DN1311_c0_g1	978.808358180921	663.981429061758	-1.48271997274994	3.48703175310083e-30	6	31
pros25	2.31e-47	82	TRINITY_DN13252_c0_g1	1449.13368959395	1648.26222555765	0.349162695168062	0.096215925025744	9	2
TpnC41C	7.53e-17	92	TRINITY_DN13345_c0_g1	-	-	-	-	notGCN	notGCN
hsc70-3	0.0	99	TRINITY_DN1402_c0_g1	801.470053135854	999.048889010605	0.574990464742493	0.03084908953287	9	2
fizzeled	0.0	96	TRINITY_DN1403_c0_g1	261.708997066533	303.538936252925	0.397609590132543	0.0734457789056091	2	2
inos	1.36e-99	99	TRINITY_DN1449_c0_g1	527.322977949604	385.86653627792	-1.10722636592264	1.57380413944756e-09	1	32
CG10444	4.04e-78	84	TRINITY_DN14557_c0_g1	359.63172607378	342.928585535094	-0.138497996723115	0.80314546641599	14	16
hsc70-3	0.0	93	TRINITY_DN1527_c0_g1	6568.95005403118	7482.71713013659	0.353053552755828	0.0771317329205817	2	2
desat1	5.29e-49	81	TRINITY_DN1531_c0_g1	59.8988514935174	92.3509817417926	1.03289295451197	0.0437605158385045	8	41
Treh	4.74e-78	93	TRINITY_DN1561_c0_g1	2977.6199006926	1816.41215033774	-2.15872320635495	2.34981041269352e-11	7	3
dissatisfaction	2.97e-28	93	TRINITY_DN15630_c0_g1	-	-	-	-	notGCN	notGCN
Pka-C1	0.0	100	TRINITY_DN1608_c0_g1	191.978959988141	123.015928804831	-1.82140300350024	8.72745563020933e-19	14	1
CG5966	3.74e-18	83	TRINITY_DN16093_c0_g1	-	-	-	-	notGCN	notGCN
desat1	5.46e-125	92	TRINITY_DN1643_c0_g1	689.78070009246	1372.08816952709	1.56607773396059	2.03240123260623e-13	3	23
CG7900	3.43e-31	92	TRINITY_DN165_c0_g1	462.196130079369	904.982339425391	1.53992317770135	1.61152287499471e-25	2	2
Nurf-38	1.54e-141	99	TRINITY_DN1681_c1_g1	370.560179805374	442.63001244758	0.471855772717454	0.0365861052870373	1	2
artichoke	2.86e-50	88	TRINITY_DN16960_c0_g1	10.8725808486825	7.25532985923009	-1.30621579338465	0.34281837414048	notGCN	notGCN
14-3-3	1.30e-61	97	TRINITY_DN1799_c1_g2	8025.10517457906	6977.79201674582	-0.434618823923524	0.03657917847784	11	32
swiss	0.0	99	TRINITY_DN18272_c0_g1	902.065199802414	1163.87278978134	0.659361869819043	1.46620927020586e-09	8	2
CG2767	1.15e-83	98	TRINITY_DN1846_c0_g1	1953.8611257374	2439.18209329133	0.576223333161389	0.103817264820267	1	3
Est1	6.78e-77	94	TRINITY_DN19751_c0_g1	12.0404614373583	6.1380389970336	-3.60305493012417	0.0204962208803104	notGCN	39
hsc70-3	0.0	86	TRINITY_DN1976_c7_g1	900.77910932645	928.592883807704	0.0866039587507136	0.766899244537284	11	41
couch	5.94e-106	97	TRINITY_DN2037_c0_g1	153.19249018489	95.4601965053379	-1.99857316169075	6.59368372279239e-09	14	29
CG10444	3.30e-49	92	TRINITY_DN2048_c0_g1	252.907446956981	200.108956764154	-0.774617618127655	0.00113925303722027	12	32
CG10444	1.81e-166	96	TRINITY_DN20619_c1_g1	14.0893720105778	7.53434407248718	-3.1883385587165	0.00907014685918769	notGCN	39
CG7900	7.59e-18	96	TRINITY_DN20638_c0_g1	109.811755865802	103.50477009817	-0.172962183216848	0.660103334794646	9	2
artichoke	6.16e-46	86	TRINITY_DN2109_c1_g1	291.004089523539	344.960994377122	0.453906560474505	0.00981883582490796	9	1
alfa-Esterase-8	1.15e-95	90	TRINITY_DN2112_c0_g1	2458.56916491517	2044.02479016584	-0.590400767383385	0.0100555163885738	9	16
alfa-Esterase-8	8.66e-92	94	TRINITY_DN2112_c0_g2	739.071748881228	1054.23909287011	0.887056557195488	5.98902570618425e-08	9	3
Darkener	1.99e-18	81	TRINITY_DN2140_c0_g4	445.649753062217	384.138318113833	-0.46516518974207	0.000543689310194231	9	2
GNBP1	4.34e-67	95	TRINITY_DN21_c0_g1	1199.63158440385	2987.20585336913	1.9830097953599	3.45167123353707e-22	2	18
alfa-Esterase-8	5.49e-37	84	TRINITY_DN2253_c0_g1	1134.26290555586	1220.51900729709	0.204455773483645	0.270769027744525	2	2
alfa-Esterase-8	5.75e-66	85	TRINITY_DN236_c0_g6	206.573933108612	550.944920890832	2.09188650940454	4.80298699492495e-11	1	3
pros25	1.12e-28	83	TRINITY_DN2408_c0_g1	1270.46351398265	1458.98783584352	0.373715108975178	0.0293606728998103	1	2
Est1	6.54e-49	84	TRINITY_DN2425_c0_g1	180.022614819525	104.230586273456	-2.602207199535	9.03757446563626e-09	notGCN	4
SP71	3.82e-19	80	TRINITY_DN2436_c1_g1	192.387847747702	224.801311099679	0.417379399357382	0.0175714678774952	3	1
black	1.01e-61	87	TRINITY_DN251_c1_g1	30.2194646049922	83.3156559437776	2.09842066671493	0.000418436198937104	9	18
TpnC41C	8.23e-68	99	TRINITY_DN2520_c0_g1	412.438388502051	282.74464311516	-1.20757878419729	0.370018970131339	1	3
pros25	5.70e-42	86	TRINITY_DN25215_c0_g1	1637.15085083594	1673.53404729469	0.0622334151868707	0.790666727991624	1	2
desat1	0.0	99	TRINITY_DN255_c0_g1	1123.17330264674	2172.54878152805	1.5050643447435	9.9344354403477e-07	1	3
alfa-Esterase-8	5.48e-56	80	TRINITY_DN256_c2_g1	407.220479334647	233.603533613422	-2.71314173500657	3.80333047631077e-12	11	41
hsc70-3	5.71e-44	100	TRINITY_DN25906_c0_g2	-	-	-	-	notGCN	notGCN
14-3-3	2.84e-175	99	TRINITY_DN259_c3_g1	2847.04668066998	2428.53071451776	-0.499674736325068	0.0272382059621328	11	32
5-hydroxytryptamine	2.79e-33	95	TRINITY_DN25_c0_g1	148.028801529752	76.4777373821829	-4.80877666432083	5.39881210745092e-32	notGCN	41
alpha-coatomer	2.90e-79	83	TRINITY_DN2790_c4_g1	414.131612859319	563.075645900863	0.780406698648579	5.97191774191925e-07	2	2
Treh	0.0	88	TRINITY_DN2886_c0_g1	1068.3378348873	793.773038100505	-1.0327416132813	0.000101149606085228	14	1
Btk	3.79e-51	92	TRINITY_DN2921_c0_g1	112.237680179442	108.384106029282	-0.098472289190672	0.908061233196837	7	4
5-hydroxytryptamine	2.35e-76	92	TRINITY_DN2947_c0_g1	312.268811452545	164.275287246608	-4.24268622559133	4.78173948720983e-47	notGCN	15
TpnC41C	2.80e-21	84	TRINITY_DN2987_c0_g1	127.835404558327	134.915765812982	0.152025647127476	0.669297414686465	2	2
kismet	1.82e-27	87	TRINITY_DN3065_c0_g1	23.3180105491852	17.5283050444343	-0.946770920862838	0.185843553089449	notGCN	41
Pka-C1	4.39e-48	86	TRINITY_DN3066_c1_g1	261.241532155399	208.91204087348	-0.729484848132027	0.0734532197135589	3	15
alfa-Esterase-8	4.75e-47	97	TRINITY_DN3072_c0_g1	1055.063729218	2191.96020254123	1.65070344209896	4.44245276642951e-18	13	3
black	0.0	82	TRINITY_DN3136_c0_g2	42.0120894548725	49.8618879233247	0.446506080904499	0.534970116939182	notGCN	notGCN
hsc70-3	0.0	95	TRINITY_DN3172_c0_g1	1053.22529753799	1674.41449297283	1.11903772312885	1.21988581943114e-07	3	32
CG32444	1.02e-85	88	TRINITY_DN319_c0_g1	911.158825784222	1131.23051299756	0.567853277267805	0.000147915025543439	2	2
