hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
sp|O18330|MRJP1_APIME	6.57e-63	92	TRINITY_DN10573_c0_g1	-0.943721723528498	0.249687002755788	-0.335028160307012	0.832272255742189	-0.685276353481938	0.368937801583053	-0.547874086997641	1	-0.0948346906437171	1	-0.225147128615912	1	9	NA
sp|O18330|MRJP1_APIME	5.98e-45	89	TRINITY_DN1118_c2_g1	0.0871281261070951	0.783613872143454	0.420189829265201	0.372914472799582	0.431021776077007	0.0386328034458611	-0.0980946670111445	0.859487912312126	-0.467589932232854	0.00260261218611575	-0.259228203589954	0.18499599803718	14	1
sp|O18330|MRJP1_APIME	9.92e-22	92	TRINITY_DN12024_c0_g2	NA	NA	NA	NA	NA	NA	-0.435918697879438	1	-0.477830089388178	1	0.0520591145983248	1	NA	NA
sp|O18330|MRJP1_APIME	2.57e-46	82	TRINITY_DN14958_c0_g1	-0.327253160554606	0.39158340217512	-0.4337317418166	0.229964887560977	-0.480269239051885	0.087037372526392	0.0186417363754656	0.98597739783191	-0.16647988761967	0.747834934442284	-0.0284623070088132	0.959888030849519	1	44
sp|O18330|MRJP1_APIME	2.31e-60	91	TRINITY_DN22392_c0_g4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|Q10416|HYTA_APIME	4.82e-26	49	TRINITY_DN3034_c0_g1	-1.2783178739605	1	-1.6023262309951	1	-0.425039277199409	0.68970362182815	-0.391280556307893	1	-1.03017242016809	1	-0.127726146419679	0.902593231958944	NA	26
sp|A0A0K1YW63|SECP_APICE	6.71e-09	95	TRINITY_DN3119_c0_g1	-0.413862826426566	0.132460094141379	-0.450836148798078	0.676003174922111	-0.276548639485702	0.679245636653722	-0.843366908490652	0.144067357110089	-1.55042020243042	0.000426916372125872	-1.34808310347656	0.00309048388835703	13	3
sp|O18330|MRJP1_APIME	1.26e-57	63	TRINITY_DN4054_c0_g1	0.111244558722999	0.970830976015684	0.389545694303138	0.863446358580728	0.54559889083508	1	-2.15923760777858	5.83117429825554e-17	-0.742919496435091	0.0613896236667652	-0.629092452209884	0.275383748215854	NA	13
sp|O18330|MRJP1_APIME	7.40e-20	75	TRINITY_DN4809_c0_g1	-3.25867076239931	9.94799983476244e-14	-2.00401175530005	0.00850218893503215	-2.2170329690783	0.00020525508178532	-1.03360093329552	0.000116746106493362	-1.0703250543703	6.6397332445329e-05	-1.12180695874975	1.17190554947409e-05	1	35
sp|O18330|MRJP1_APIME	1.90e-64	91	TRINITY_DN4935_c0_g1	-0.342619592607589	0.365064666740348	0.288682327240981	0.732290861372606	0.00487724774734247	0.99467774994237	-0.78003993943546	0.00558861320949546	-0.687302761212424	0.00264074874056262	-0.339365218063304	0.246664502102772	14	16
sp|O18330|MRJP1_APIME	3.84e-61	91	TRINITY_DN5279_c0_g1	-0.100241545742965	0.912282127090203	0.126549865369328	0.91325570894831	0.0720821605817838	0.907398293312095	-0.221718898937008	0.624415403400916	-0.328023063136042	0.076637070709037	-0.28473346737843	0.374944830532943	NA	16
