hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
CG2767	2.70e-28	91	TRINITY_DN102948_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
drat	4.02e-77	97	TRINITY_DN1029_c0_g1	-0.307236994100215	0.245071283836813	0.0757340096635454	0.932269319283472	0.329221718811601	0.2015444581933	-0.15348671686675	0.550527070782318	-0.367507873021972	0.0352416614022774	-0.0464898516963785	0.90864428633009	10	1
TpnC41C	2.00e-41	98	TRINITY_DN103_c1_g2	0.276701604121787	0.412321216455395	-0.01589934013765	0.98280341476595	-0.117687764427604	0.599574528434554	0.114860319341252	0.628562492373042	0.202301122299503	0.162494211735807	0.185181318027383	0.208810891738384	11	15
Pka-C1	2.58e-17	83	TRINITY_DN1066_c0_g1	0.551754669157149	0.160446964004756	0.288405859019601	0.624850177415863	0.00596655850311536	0.992216737463685	0.311217210292415	0.300173554528821	-0.005470403151648	0.988064187908474	-0.158903658923571	0.658230926788478	2	2
CG5104	1.05e-75	99	TRINITY_DN1104_c0_g1	-0.866088145051048	0.138043456491855	-0.857082377992713	0.184780910699248	-0.738079096714828	0.186995369382792	-0.0700451769440752	0.931133130060163	-0.160693514731657	0.55555837419677	-0.392870586090413	0.0387275896408807	1	44
CG5966	4.22e-28	90	TRINITY_DN11387_c0_g1	0.49232451846663	0.760919583889615	0.765129974582755	0.610270318117627	1.21561367060772	1	-0.0166374022588618	0.993626292189382	0.289999492341898	1	-0.0196360471873541	1	NA	NA
CG7378	1.57e-64	93	TRINITY_DN1140_c0_g1	-0.581788916857753	0.106967413851912	-0.911570662773052	0.000760559348044143	-0.916373967016554	0.00347575334440874	-0.208906144845389	0.535792616859018	-0.551225189249551	0.00703980797681493	-0.6593046184774	2.61029010790686e-05	1	3
CG5498	2.46e-53	85	TRINITY_DN117_c0_g1	-0.386981562281465	0.246846075170258	0.216116588508499	0.77856956729079	0.0282378169543769	0.963984257691426	-0.211264509572469	0.521127799278345	-0.255829383986948	0.293920523469021	-0.0661334239840874	0.852548274365503	13	35
alfa-Esterase-8	1.26e-59	90	TRINITY_DN1230_c0_g2	-0.128496744864732	0.846519842748958	-0.023402802044673	0.983602093216864	-0.220310499846592	0.585826032355676	0.0265994521162417	0.965084575662847	-0.445513189986894	0.0153224746278291	-0.258240110407103	0.279739508179957	2	2
tailless	9.43e-65	83	TRINITY_DN1311_c0_g1	0.137931427866358	0.877039746070714	-0.109314422899926	0.889401068393581	-0.126083336373013	0.745953055551081	0.0757922423479406	0.788343030321365	0.26437340351877	0.123273786703692	0.147542520844913	0.53384261579063	6	31
pros25	2.31e-47	82	TRINITY_DN13252_c0_g1	-0.341740371370257	0.0633926514270692	-0.219051947298905	0.432937568061947	-0.43744763515725	0.00760948135045151	-0.571379113138495	0.00113063727301819	-0.444199804379427	0.0368220372311071	-0.57359995124004	0.0222230674574273	9	2
TpnC41C	7.53e-17	92	TRINITY_DN13345_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsc70-3	0.0	99	TRINITY_DN1402_c0_g1	-0.37699974000071	0.292834785758006	-0.43442805473961	0.257483440213349	-0.428117848457589	0.126847871533261	-0.207731364353923	0.625037505413539	-0.348754892038155	0.123273786703692	-0.297573568760223	0.485769853543704	9	2
fizzeled	0.0	96	TRINITY_DN1403_c0_g1	-0.222509620076546	0.491797657207264	-0.236717124476173	0.627194107489862	-0.287657815496462	0.409968609028369	-0.0887011394535442	0.892640210200711	-0.190079472843064	0.434762255582647	-0.188664139323201	0.575810005529922	2	2
inos	1.36e-99	99	TRINITY_DN1449_c0_g1	-0.320953403686151	0.391469850567047	-0.3439391176273	0.428520646551617	-0.289652775839342	0.364273710307074	0.105956576067228	0.742859798800989	-0.135856563677241	0.430550980879623	0.0408596587570889	0.89564925249332	1	32
CG10444	4.04e-78	84	TRINITY_DN14557_c0_g1	-0.369794025620355	0.576010434569485	0.587265815869588	0.507482916349457	0.889171598848193	0.0066360280154495	-0.937640747048944	0.00487379365000558	-0.936771058113829	0.000602540762820637	-0.528947290132589	0.101456970122806	14	16
hsc70-3	0.0	93	TRINITY_DN1527_c0_g1	-0.0414779512529357	0.943380261397279	-0.026436724084729	0.976359120607742	-0.0565542730787245	0.871783176325365	-0.372570412229966	0.0369744421590478	-0.291398325307881	0.101600019352031	-0.215617113480343	0.613215801431422	2	2
desat1	5.29e-49	81	TRINITY_DN1531_c0_g1	-0.739324716463794	0.496002358495257	-0.249982689938119	0.847341281856601	-0.10127626832292	0.926808126687447	-0.0270114512073048	0.987196732921056	0.54469616242114	0.359967684985477	0.693709909846827	0.163329625166423	8	41
Treh	4.74e-78	93	TRINITY_DN1561_c0_g1	-0.402836757802548	0.489392172598293	-0.337038539540623	0.610270318117627	0.0987291012344972	0.867964581485701	-1.03705258140637	3.94579433434783e-05	-1.02383981397982	8.7426033882253e-05	-0.889287279928513	0.00785377034646533	7	3
dissatisfaction	2.97e-28	93	TRINITY_DN15630_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pka-C1	0.0	100	TRINITY_DN1608_c0_g1	0.236140871664898	0.675953061577905	0.264849155928097	0.793402282346411	0.902165327551978	0.0162493741149149	0.19577014532863	0.718022015730458	-0.0162489911408906	0.963167504926074	0.209217194806202	0.554169215713767	14	1
CG5966	3.74e-18	83	TRINITY_DN16093_c0_g1	0.281164272893488	0.900075508285144	NA	NA	0.173286306234398	1	NA	NA	NA	NA	NA	NA	NA	NA
desat1	5.46e-125	92	TRINITY_DN1643_c0_g1	0.650432836412151	0.00494303944518357	0.615579199434406	0.0518413377956587	0.704938062459261	0.00740301146942564	0.446191325391465	0.011095179943702	0.254017631071236	0.16363573879622	0.369686008722852	0.041084988241011	3	23
