hit	evalue	qcover	transcript	logFC_AB_AD	padj_AB_AD	logFC_AC_AD	padj_AC_AD	logFC_AD_AD	padj_AD_AD	logFC_AB_CT	padj_AB_CT	logFC_AC_CT	padj_AC_CT	logFC_AD_CT	padj_AD_CT	AD	CT
sp|Q8MQS8|SP34_APIME	7.46e-36	86	TRINITY_DN10044_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|Q7M4I3|SP4_BOMPE	1.24e-25	95	TRINITY_DN105602_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|B5U2W0|VSP_BOMIG	1.14e-37	90	TRINITY_DN10793_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P0CH47|PA1_VESMG	2.79e-26	91	TRINITY_DN11387_c0_g1	0.49232451846663	0.760919583889615	0.765129974582755	0.610270318117627	1.21561367060772	1	-0.0166374022588618	0.993626292189382	0.289999492341898	1	-0.0196360471873541	1	NA	NA
sp|B5U2W0|VSP_BOMIG	6.60e-43	80	TRINITY_DN12177_c0_g1	-1.94832371557175	0.0308460341813948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|B2D0J5|EST6_APIME	3.27e-79	86	TRINITY_DN1230_c0_g2	-0.128496744864732	0.846519842748958	-0.023402802044673	0.983602093216864	-0.220310499846592	0.585826032355676	0.0265994521162417	0.965084575662847	-0.445513189986894	0.0153224746278291	-0.258240110407103	0.279739508179957	2	2
sp|Q8MQS8|SP34_APIME	2.09e-22	85	TRINITY_DN1320_c0_g1	0.492230837597429	0.576010434569485	0.233210659371583	0.867470207614523	0.582183933674003	0.433056276545618	0.506799300636983	1	-0.194506692039934	1	-0.0927954945386191	1	7	NA
sp|B5U2W0|VSP_BOMIG	4.66e-23	80	TRINITY_DN13579_c0_g2	0.0640955513026886	0.970830976015684	-0.234476818461309	0.90009138024606	1.14492815769092	0.0864066618292626	0.459116125324632	0.671469239690029	-0.601804855802229	0.356158714832021	-0.267630741665177	0.757372339496142	14	18
sp|B2D0J5|EST6_APIME	5.90e-21	85	TRINITY_DN13771_c0_g1	-0.366882927575014	0.215863687015929	-0.584114914913511	0.0257497222991766	-0.755697649901532	0.0261407710476208	-0.208602953129461	0.369711262762953	-0.761849398118576	3.9370285832821e-09	-0.651262832215378	1.30330376615251e-06	1	3
sp|P0DSI2|PA1_DINQU	1.72e-45	83	TRINITY_DN1399_c0_g1	-2.50004996891779	1.31656227462294e-06	-3.35390753555969	2.6573872656719e-17	-3.30322048605323	1.91890822788034e-18	NA	NA	NA	NA	NA	NA	9	NA
sp|Q7M4I3|SP4_BOMPE	5.83e-25	88	TRINITY_DN14125_c0_g1	NA	NA	NA	NA	NA	NA	-0.737642676674352	0.206553802024787	0.0207315006242742	1	-0.0816075872881963	1	NA	37
sp|Q7M4I3|SP4_BOMPE	2.22e-17	89	TRINITY_DN14125_c0_g4	NA	NA	NA	NA	NA	NA	-0.697442678953191	0.240109403663416	-0.787173085017907	0.204897362201273	-0.360463309508204	0.594066592332669	NA	16
sp|Q8MMG9|TREA_PIMHY	3.69e-129	97	TRINITY_DN1561_c0_g1	-0.402836757802548	0.489392172598293	-0.337038539540623	0.610270318117627	0.0987291012344972	0.867964581485701	-1.03705258140637	3.94579433434783e-05	-1.02383981397982	8.7426033882253e-05	-0.889287279928513	0.00785377034646533	7	3
sp|P49369|PA1_VESVU	8.28e-29	88	TRINITY_DN16093_c0_g1	0.281164272893488	0.900075508285144	NA	NA	0.173286306234398	1	NA	NA	NA	NA	NA	NA	NA	NA
sp|B2D0J4|VDPP4_APIME	0.0	85	TRINITY_DN1707_c0_g1	-1.08933429825172	0.021389921730194	-0.486942264820546	0.532934826954089	-0.177852154383993	0.823677779872291	0.133198132849298	0.80012298614348	-0.0132258179101897	0.974776749770151	0.219020071619313	0.576194436938099	10	7
sp|Q5BLY5|ACPH1_APIME	7.70e-56	88	TRINITY_DN1814_c0_g2	-0.85747528027952	4.5678711928528e-09	-0.423702025374181	0.117474400779349	-0.201447256574531	0.392004330581916	-0.387666859362255	0.00401595991986986	-0.385156893046595	0.00329124918190432	-0.667475830375532	1.08307625036915e-08	1	3
sp|Q8MQS8|SP34_APIME	9.09e-19	89	TRINITY_DN1867_c0_g1	-1.55750824241105	0.0474654661638859	-1.17725229465045	0.249976133558675	-0.317692425176671	0.773403864444462	-0.0862155578108125	0.959147976902984	-0.0268315974846595	0.967249503518162	-0.0765634673664205	0.916269753255698	7	2
sp|B1A4F7|VDDP4_VESVU	1.20e-108	93	TRINITY_DN1935_c0_g1	0.876617698603244	0.0342058328476254	0.711394110888216	0.213536665582304	1.23109432833727	0.000578756118708269	0.664299833944516	3.08956753967808e-07	0.608809860318456	7.23922330250358e-05	0.587176617311647	3.6468401061842e-05	3	23
sp|B2D0J5|EST6_APIME	6.12e-78	98	TRINITY_DN19751_c0_g1	NA	NA	NA	NA	NA	NA	-0.25741704432642	0.865421252210114	-0.535360981824482	1	-0.566615878959822	1	NA	39
sp|Q8MQS8|SP34_APIME	1.18e-114	81	TRINITY_DN2095_c0_g2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|B2D0J5|EST6_APIME	5.80e-71	97	TRINITY_DN2112_c0_g1	-0.940683530746082	2.08407949967365e-07	-0.949664832087164	6.70349541827949e-10	-1.0790077461222	1.11617088564715e-07	-0.377721121031152	0.363178660359127	-0.640954226704197	0.0106414543914882	-0.380065439321618	0.175566590408812	9	16
sp|B2D0J5|EST6_APIME	2.59e-59	94	TRINITY_DN2112_c0_g2	-1.88429636391582	3.61640237791389e-21	-2.01247328523597	1.69838346005096e-12	-2.26135258043731	4.44512540687226e-17	-1.00156044395877	5.65804621447324e-09	-1.56479030827943	4.22731851221487e-60	-1.40467608394211	1.11176783778615e-31	9	3
sp|Q8MMH3|ARMT1_PIMHY	3.16e-61	95	TRINITY_DN2161_c0_g1	-0.285070613613562	0.438648951736662	0.0878937686533772	0.890764741980939	-0.0168736478448612	0.964805347285551	-0.362028286763013	0.0442698160012177	-0.111430486894856	0.684408117427104	-0.157367719752924	0.583306085756225	NA	16
sp|A2VBC4|PA1_POLPI	6.92e-16	80	TRINITY_DN2221_c0_g2	NA	NA	NA	NA	NA	NA	-0.326238154810696	0.474551172726064	-0.0990338279935937	0.804807166354533	-0.172406405662059	0.684714121798957	NA	NA
sp|Q7M4I3|SP4_BOMPE	1.30e-33	89	TRINITY_DN23208_c0_g1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
