-ehit\tevalue\tqcover\ttranscript\tlogFC_AB_AD\tpadj_AB_AD\tlogFC_AC_AD\tpadj_AC_AD\tlogFC_AD_AD\tpadj_AD_AD\tlogFC_AB_CT\tpadj_AB_CT\tlogFC_AC_CT\tpadj_AC_CT\tlogFC_AD_CT\tpadj_AD_CT\tAD\tCT
alpha-coatomer	1.63e-08	86	TRINITY_DN101908_c0_g1	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
CG14478	1.68e-11	73	TRINITY_DN102201_c0_g1	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
CG2767	2.70e-28	91	TRINITY_DN102948_c0_g1	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
drat	4.02e-77	97	TRINITY_DN1029_c0_g1	-0.307236994100215 0.245071283836813	0.0757340096635454 0.932269319283472	0.329221718811601 0.2015444581933	-0.15348671686675 0.550527070782318	-0.367507873021972 0.0352416614022774	-0.0464898516963785 0.90864428633009	10	1
Pka-C1	6.83e-38	78	TRINITY_DN102_c1_g1	-0.0333969182201469 0.981953883567659	0.158527978339139 0.893943647877824	0.502413950653518 0.297114216940715	0.0558772896217936 0.959147976902984	0.0942111700458389 0.732741719364833	0.300082682508197 0.370520075936883	14	30
TpnC41C	2.00e-41	98	TRINITY_DN103_c1_g2	0.276701604121787 0.412321216455395	-0.01589934013765 0.98280341476595	-0.117687764427604 0.599574528434554	0.114860319341252 0.628562492373042	0.202301122299503 0.162494211735807	0.185181318027383 0.208810891738384	11	15
artichoke	9.51e-18	74	TRINITY_DN1061_c0_g1	-1.00693553468069 0.279732028838426	-0.998674688228335 0.369720611642452	-0.892009578164586 0.28778950841388	-0.740596541869321 0.0167015689028887	-0.919109082744842 0.00333368664597062	-1.01611855823484 0.00172799992428626	15	16
Pka-C1	2.58e-17	83	TRINITY_DN1066_c0_g1	0.551754669157149 0.160446964004756	0.288405859019601 0.624850177415863	0.00596655850311536 0.992216737463685	0.311217210292415 0.300173554528821	-0.005470403151648 0.988064187908474	-0.158903658923571 0.658230926788478	2	2
pros25	5.35e-37	73	TRINITY_DN10731_c0_g1	-0.629591429492672 1.13371494531532e-06	-0.49413496295969 0.167694153163453	-0.654468708994213 0.00272418346266218	-0.447284024856879 0.0125801238526639	-0.496539381216893 0.00644551552960183	-0.545777509291787 0.0244750052184559	1	2
artichoke	8.59e-28	78	TRINITY_DN10883_c0_g1	-0.407386112442281 0.166238584077112	-0.424276473616564 0.610270318117627	-0.240575057545179 0.68644930492251	0.0121760597525704 0.984763558350945	-0.1424855172887 0.406456262452962	0.109631575820946 0.68291533492669	13	32
alpha-coatomer	2.06e-11	94	TRINITY_DN11020_c0_g2	0.162155285022435 0.7368467887351	-0.0550175812481146 0.94559972523459	-0.271895968103448 0.501736354020426	-0.0251498550334522 0.977535865212954	-0.277509773559577 0.128933453262102	-0.200599377892932 0.363053546710246	2	2
CG5104	1.05e-75	99	TRINITY_DN1104_c0_g1	-0.866088145051048 0.138043456491855	-0.857082377992713 0.184780910699248	-0.738079096714828 0.186995369382792	-0.0700451769440752 0.931133130060163	-0.160693514731657 0.55555837419677	-0.392870586090413 0.0387275896408807	1	44
CG5966	4.22e-28	90	TRINITY_DN11387_c0_g1	0.49232451846663 0.760919583889615	0.765129974582755 0.610270318117627	1.21561367060772 1	-0.0166374022588618 0.993626292189382	0.289999492341898 1	-0.0196360471873541 1	NA	NA
CG7378	1.57e-64	93	TRINITY_DN1140_c0_g1	-0.581788916857753 0.106967413851912	-0.911570662773052 0.000760559348044143	-0.916373967016554 0.00347575334440874	-0.208906144845389 0.535792616859018	-0.551225189249551 0.00703980797681493	-0.6593046184774 2.61029010790686e-05	1	3
foraging	9.62e-31	79	TRINITY_DN1146_c0_g1	-0.192244370512501 0.852977930911072	0.0282971037591277 0.98547771782934	0.401345635715578 0.562256299572632	0.0286847207173662 0.974546675916935	0.0104271770773213 0.973135054315669	0.317831361755135 0.176661708091911	14	41
pros25	2.94e-08	72	TRINITY_DN11630_c0_g1	-0.0814763634088563 0.899241170236557	-0.111878363107556 0.93256667334776	-0.317628473911961 0.442868168799318	-0.478661274047644 0.00298752923069203	-0.52590101425615 0.0187942915856452	-0.603102752822352 0.0286256209406195	2	2
CG5498	2.46e-53	85	TRINITY_DN117_c0_g1	-0.386981562281465 0.246846075170258	0.216116588508499 0.77856956729079	0.0282378169543769 0.963984257691426	-0.211264509572469 0.521127799278345	-0.255829383986948 0.293920523469021	-0.0661334239840874 0.852548274365503	13	35
alfa-Esterase-8	1.26e-59	90	TRINITY_DN1230_c0_g2	-0.128496744864732 0.846519842748958	-0.023402802044673 0.983602093216864	-0.220310499846592 0.585826032355676	0.0265994521162417 0.965084575662847	-0.445513189986894 0.0153224746278291	-0.258240110407103 0.279739508179957	2	2
foraging	2.22e-17	89	TRINITY_DN12864_c0_g1	NA NA	NA NA	NA NA	NA NA	NA NA	NA NA	NA	NA
tailless	9.43e-65	83	TRINITY_DN1311_c0_g1	0.137931427866358 0.877039746070714	-0.109314422899926 0.889401068393581	-0.126083336373013 0.745953055551081	0.0757922423479406 0.788343030321365	0.26437340351877 0.123273786703692	0.147542520844913 0.53384261579063	6	31
