transcript	homolog	mean_AD	mean_CT	logFC	padj	module_AD	module_CT
TRINITY_DN10742_c0_g1	sp|P41596|DOPR1_DROME	15.0308600771277	31.7000884949809	1.64172970705073	0.00192915098844768	3	notGCN
TRINITY_DN11669_c0_g1	sp|P41596|DOPR1_DROME	21.2215873448902	11.9565024338824	-2.64343624427516	0.0114868414502501	notGCN	41
TRINITY_DN126_c1_g2	sp|P41596|DOPR1_DROME	225.774835948425	129.107540611359	-2.75066551092591	4.15405907627566e-13	3	41
TRINITY_DN13029_c0_g1	sp|P41596|DOPR1_DROME	39.9226089061207	24.8293821994251	-1.95720079212163	0.00269720350808154	notGCN	33
TRINITY_DN1395_c0_g3	sp|P13002|ELF1_DROME	33.4138808979405	62.3605840909877	1.43391743396747	8.41986704674099e-06	3	1
TRINITY_DN1446_c1_g1	sp|P41596|DOPR1_DROME	47.6730866511728	24.5687185804609	-4.6527472437628	1.05585099338632e-09	notGCN	41
TRINITY_DN1635_c0_g1	sp|Q24563|DOPR2_DROME	76.7643121026039	42.3301230251101	-2.88622767063894	0.00769421790391757	notGCN	4
TRINITY_DN1694_c0_g1	sp|P41596|DOPR1_DROME	75.5160992838817	142.812217486012	1.46805993363937	3.70252705633849e-11	14	3
TRINITY_DN1715_c0_g1	sp|Q8IS44|DRD2L_DROME	45.1355728564131	29.5627319015561	-1.66616438426291	8.88716054862031e-05	notGCN	14
TRINITY_DN2053_c0_g1	sp|Q8IS44|DRD2L_DROME	131.713414161011	67.0308791643804	-5.61863236327896	4.74790223625127e-22	notGCN	41
TRINITY_DN251_c1_g1	sp|P18486|DHAPP_DROME	30.2194646049922	83.3156559437776	2.09842066671493	0.000418436198937104	9	18
TRINITY_DN25_c0_g1	sp|Q24563|DOPR2_DROME	148.028801529752	76.4777373821829	-4.80877666432083	5.39881210745092e-32	notGCN	41
TRINITY_DN274_c1_g1	sp|Q24563|DOPR2_DROME	62.2737232629459	74.5195002240717	0.457874436693463	0.570544385334137	1	16
TRINITY_DN2864_c0_g1	sp|P41596|DOPR1_DROME	76.5882934876231	62.631082418536	-0.648565451987416	0.0563444215767423	3	32
TRINITY_DN2947_c0_g1	sp|Q24563|DOPR2_DROME	312.268811452545	164.275287246608	-4.24268622559133	4.78173948720983e-47	notGCN	15
TRINITY_DN3136_c0_g2	sp|P05031|DDC_DROME	42.0120894548725	49.8618879233247	0.446506080904499	0.534970116939182	notGCN	notGCN
TRINITY_DN3239_c0_g1	sp|P41596|DOPR1_DROME	86.5020632204297	50.4538678824277	-2.32900173837528	0.0206525788780279	11	7
TRINITY_DN3368_c0_g1	sp|P05031|DDC_DROME	46.9065185316982	23.4532592658491	-7.01534327750936	1.87654232639196e-09	notGCN	4
TRINITY_DN3477_c0_g1	sp|P41596|DOPR1_DROME	186.312891214687	101.280975544138	-3.43062447814813	1.54087185911691e-15	notGCN	14
TRINITY_DN3615_c0_g1	sp|P05031|DDC_DROME	142.532854170679	73.3430161951126	-4.97231917074166	1.73844702478931e-29	notGCN	7
TRINITY_DN3637_c0_g2	sp|P17276|PH4H_DROME	2373.32465434938	9245.29619550117	2.73515986525588	3.55075124359593e-20	3	23
TRINITY_DN36669_c0_g1	sp|P41596|DOPR1_DROME	8.63820419564408	11.2983242017837	0.632698937170527	0.606057791914947	notGCN	notGCN
TRINITY_DN397_c0_g1	sp|P41596|DOPR1_DROME	92.0841807474682	78.4289093875347	-0.493195123466196	0.412437545612111	2	3
TRINITY_DN4015_c0_g1	sp|P41596|DOPR1_DROME	129.831300261746	78.6992828689453	-2.21568758774855	2.21298913291016e-11	notGCN	41
TRINITY_DN4134_c0_g1	sp|P41596|DOPR1_DROME	28101.5933481219	14057.0729630437	-10.8684972495166	6.52994966548313e-134	notGCN	35
TRINITY_DN42084_c0_g1	sp|P41596|DOPR1_DROME	92.2414609974433	59.2315323441685	-1.78057350866418	4.85208120197224e-05	notGCN	7
